# elements, time                
4096      , 0.083984            
4096      , 0.095947            
4096      , 0.081055            
4096      , 0.091064            
4096      , 0.083252            
4096      , 0.090088            
4096      , 0.079834            
4096      , 0.091797            
4096      , 0.083008            
4096      , 0.080322            
4096      , 0.123779            
4096      , 0.082031            
4096      , 0.083984            
4096      , 0.091309            
4096      , 0.082031            
4096      , 0.093018            
4096      , 0.079102            
4096      , 0.099854            
4096      , 0.080811            
4096      , 0.093262            
4096      , 0.080078            
4096      , 0.091797            
4096      , 0.095215            
4096      , 0.088379            
4096      , 0.077148            
8192      , 0.134277            
8192      , 0.172852            
8192      , 0.175049            
8192      , 0.137939            
8192      , 0.135010            
8192      , 0.137695            
8192      , 0.135986            
8192      , 0.136719            
8192      , 0.135010            
8192      , 0.136230            
8192      , 0.146729            
8192      , 0.166992            
8192      , 0.167969            
8192      , 0.136963            
8192      , 0.188965            
8192      , 0.138184            
8192      , 0.186035            
8192      , 0.137207            
8192      , 0.136963            
8192      , 0.134521            
8192      , 0.137207            
8192      , 0.135254            
8192      , 0.137207            
8192      , 0.136719            
8192      , 0.135986            
16384     , 0.231689            
16384     , 0.201904            
16384     , 0.303955            
16384     , 0.238037            
16384     , 0.123047            
16384     , 0.347168            
16384     , 0.305176            
16384     , 0.236816            
16384     , 0.210205            
16384     , 0.210205            
16384     , 0.211182            
16384     , 0.238770            
16384     , 0.236328            
16384     , 0.238281            
16384     , 0.122070            
16384     , 0.347900            
16384     , 0.232910            
16384     , 0.229980            
16384     , 0.237061            
16384     , 0.239258            
16384     , 0.316162            
16384     , 0.242920            
16384     , 0.208740            
16384     , 0.213135            
16384     , 0.324951            
32768     , 0.282959            
32768     , 0.384033            
32768     , 0.282959            
32768     , 0.280029            
32768     , 0.294189            
32768     , 0.206055            
32768     , 0.195068            
32768     , 0.283936            
32768     , 0.169922            
32768     , 0.282959            
32768     , 0.269043            
32768     , 0.223633            
32768     , 0.284912            
32768     , 0.283936            
32768     , 0.282227            
32768     , 0.271973            
32768     , 0.350830            
32768     , 0.286133            
32768     , 0.290039            
32768     , 0.169189            
32768     , 0.215332            
32768     , 0.282959            
32768     , 0.235107            
32768     , 0.272217            
32768     , 0.284912            
65536     , 0.378906            
65536     , 0.274170            
65536     , 0.345947            
65536     , 0.376709            
65536     , 0.375244            
65536     , 0.279053            
65536     , 0.276123            
65536     , 0.443848            
65536     , 0.376953            
65536     , 0.482178            
65536     , 0.284180            
65536     , 0.381836            
65536     , 0.377930            
65536     , 0.281982            
65536     , 0.379883            
65536     , 0.276855            
65536     , 0.290039            
65536     , 0.276123            
65536     , 0.368164            
65536     , 0.458008            
65536     , 0.385742            
65536     , 0.294922            
65536     , 0.276855            
65536     , 0.275146            
65536     , 0.381104            
131072    , 0.622070            
131072    , 0.512207            
131072    , 0.579102            
131072    , 0.504883            
131072    , 0.514893            
131072    , 0.498047            
131072    , 0.512695            
131072    , 0.672852            
131072    , 0.579102            
131072    , 0.657471            
131072    , 0.505859            
131072    , 0.583984            
131072    , 0.573975            
131072    , 0.536865            
131072    , 0.507812            
131072    , 0.592285            
131072    , 0.569092            
131072    , 0.535889            
131072    , 0.506836            
131072    , 0.689941            
131072    , 0.572998            
131072    , 0.698486            
131072    , 0.505859            
131072    , 0.580811            
131072    , 0.572754            
262144    , 1.082031            
262144    , 1.069824            
262144    , 0.989014            
262144    , 0.985840            
262144    , 0.988281            
262144    , 0.987793            
262144    , 0.990967            
262144    , 0.986084            
262144    , 0.987793            
262144    , 1.064941            
262144    , 0.987061            
262144    , 0.995850            
262144    , 0.979248            
262144    , 1.056885            
262144    , 0.986572            
262144    , 0.994141            
262144    , 0.984863            
262144    , 1.076172            
262144    , 0.988770            
262144    , 0.994873            
262144    , 0.979980            
262144    , 1.062988            
262144    , 0.986084            
262144    , 0.979248            
262144    , 0.988037            
524288    , 1.764893            
524288    , 1.762939            
524288    , 1.763672            
524288    , 1.765869            
524288    , 1.767822            
524288    , 1.763184            
524288    , 1.766846            
524288    , 1.763428            
524288    , 1.762939            
524288    , 1.764160            
524288    , 1.764160            
524288    , 1.770264            
524288    , 1.767090            
524288    , 1.767822            
524288    , 1.766357            
524288    , 1.821045            
524288    , 1.767090            
524288    , 1.770752            
524288    , 1.765137            
524288    , 1.861816            
524288    , 1.761963            
524288    , 1.765625            
524288    , 1.764893            
524288    , 1.839844            
524288    , 1.767090            
