# elements, time                
4096      , 0.074219            
4096      , 0.052734            
4096      , 0.044189            
4096      , 0.051270            
4096      , 0.053223            
4096      , 0.052734            
4096      , 0.053955            
4096      , 0.053955            
4096      , 0.053955            
4096      , 0.051758            
4096      , 0.053467            
4096      , 0.052734            
4096      , 0.053955            
4096      , 0.052246            
4096      , 0.051758            
4096      , 0.053955            
4096      , 0.052002            
4096      , 0.054199            
4096      , 0.052734            
4096      , 0.052490            
4096      , 0.052002            
4096      , 0.061768            
4096      , 0.052002            
4096      , 0.069824            
4096      , 0.054199            
8192      , 0.063232            
8192      , 0.063965            
8192      , 0.064941            
8192      , 0.065674            
8192      , 0.064941            
8192      , 0.064453            
8192      , 0.064209            
8192      , 0.063232            
8192      , 0.066162            
8192      , 0.061768            
8192      , 0.065186            
8192      , 0.063721            
8192      , 0.065186            
8192      , 0.063721            
8192      , 0.054688            
8192      , 0.073730            
8192      , 0.063965            
8192      , 0.071045            
8192      , 0.074707            
8192      , 0.063721            
8192      , 0.066895            
8192      , 0.065186            
8192      , 0.064941            
8192      , 0.065918            
8192      , 0.065918            
16384     , 0.110840            
16384     , 0.102051            
16384     , 0.103027            
16384     , 0.103516            
16384     , 0.102051            
16384     , 0.101074            
16384     , 0.094727            
16384     , 0.102051            
16384     , 0.102051            
16384     , 0.103027            
16384     , 0.104736            
16384     , 0.109863            
16384     , 0.094971            
16384     , 0.102051            
16384     , 0.102783            
16384     , 0.103027            
16384     , 0.104736            
16384     , 0.100830            
16384     , 0.100830            
16384     , 0.102051            
16384     , 0.101074            
16384     , 0.103027            
16384     , 0.102051            
16384     , 0.102783            
16384     , 0.104248            
32768     , 0.109131            
32768     , 0.109131            
32768     , 0.106201            
32768     , 0.107666            
32768     , 0.105957            
32768     , 0.106934            
32768     , 0.104980            
32768     , 0.111816            
32768     , 0.114502            
32768     , 0.115234            
32768     , 0.105225            
32768     , 0.104980            
32768     , 0.105957            
32768     , 0.098877            
32768     , 0.112793            
32768     , 0.106934            
32768     , 0.105957            
32768     , 0.106934            
32768     , 0.111816            
32768     , 0.106201            
32768     , 0.105225            
32768     , 0.113037            
32768     , 0.107910            
32768     , 0.108154            
32768     , 0.113037            
65536     , 0.123779            
65536     , 0.122314            
65536     , 0.122803            
65536     , 0.123047            
65536     , 0.129883            
65536     , 0.128906            
65536     , 0.127930            
65536     , 0.130371            
65536     , 0.123291            
65536     , 0.124268            
65536     , 0.124268            
65536     , 0.108887            
65536     , 0.124023            
65536     , 0.121338            
65536     , 0.127930            
65536     , 0.128174            
65536     , 0.129883            
65536     , 0.124023            
65536     , 0.124023            
65536     , 0.129395            
65536     , 0.130859            
65536     , 0.125000            
65536     , 0.122803            
65536     , 0.123291            
65536     , 0.121826            
131072    , 0.144043            
131072    , 0.148438            
131072    , 0.147949            
131072    , 0.149658            
131072    , 0.124023            
131072    , 0.145020            
131072    , 0.144043            
131072    , 0.149170            
131072    , 0.123535            
131072    , 0.143066            
131072    , 0.150146            
131072    , 0.142090            
131072    , 0.143799            
131072    , 0.151855            
131072    , 0.156250            
131072    , 0.149902            
131072    , 0.145996            
131072    , 0.149902            
131072    , 0.144043            
131072    , 0.143799            
131072    , 0.141846            
131072    , 0.150146            
131072    , 0.151855            
131072    , 0.143066            
131072    , 0.148926            
262144    , 0.249268            
262144    , 0.241943            
262144    , 0.239014            
262144    , 0.238770            
262144    , 0.236328            
262144    , 0.238037            
262144    , 0.239014            
262144    , 0.242188            
262144    , 0.237305            
262144    , 0.243164            
262144    , 0.245117            
262144    , 0.240967            
262144    , 0.238037            
262144    , 0.240967            
262144    , 0.245117            
262144    , 0.239258            
262144    , 0.242432            
262144    , 0.239990            
262144    , 0.240723            
262144    , 0.236816            
262144    , 0.237061            
262144    , 0.241211            
262144    , 0.242920            
262144    , 0.242676            
262144    , 0.240234            
524288    , 0.384033            
524288    , 0.383301            
524288    , 0.374756            
524288    , 0.377197            
524288    , 0.371094            
524288    , 0.381104            
524288    , 0.373291            
524288    , 0.378906            
524288    , 0.375488            
524288    , 0.386230            
524288    , 0.385986            
524288    , 0.385254            
524288    , 0.376221            
524288    , 0.376221            
524288    , 0.375244            
524288    , 0.385010            
524288    , 0.373047            
524288    , 0.385986            
524288    , 0.379150            
524288    , 0.384033            
524288    , 0.375000            
524288    , 0.383301            
524288    , 0.379883            
524288    , 0.379150            
524288    , 0.377197            
