# elements, time                
4096      , 0.238037            
4096      , 0.239014            
4096      , 0.235107            
4096      , 0.236816            
4096      , 0.238281            
4096      , 0.246094            
4096      , 0.239990            
4096      , 0.252930            
4096      , 0.241211            
4096      , 0.236084            
4096      , 0.248779            
4096      , 0.238037            
4096      , 0.238037            
4096      , 0.239746            
4096      , 0.234131            
4096      , 0.240967            
4096      , 0.247559            
4096      , 0.242432            
4096      , 0.236084            
4096      , 0.239990            
4096      , 0.237061            
4096      , 0.239014            
4096      , 0.237061            
4096      , 0.232178            
4096      , 0.235107            
8192      , 0.400146            
8192      , 0.394775            
8192      , 0.400635            
8192      , 0.396973            
8192      , 0.397217            
8192      , 0.399658            
8192      , 0.393799            
8192      , 0.396240            
8192      , 0.396729            
8192      , 0.396240            
8192      , 0.386963            
8192      , 0.395996            
8192      , 0.398926            
8192      , 0.425049            
8192      , 0.400146            
8192      , 0.396973            
8192      , 0.398193            
8192      , 0.396484            
8192      , 0.395752            
8192      , 0.398193            
8192      , 0.398193            
8192      , 0.398926            
8192      , 0.406006            
8192      , 0.395996            
8192      , 0.399902            
16384     , 0.754150            
16384     , 0.729248            
16384     , 0.728516            
16384     , 0.728271            
16384     , 0.753174            
16384     , 0.745117            
16384     , 0.745850            
16384     , 0.668945            
16384     , 0.764404            
16384     , 0.754150            
16384     , 0.747070            
16384     , 0.847900            
16384     , 0.728027            
16384     , 0.652100            
16384     , 0.755127            
16384     , 0.748047            
16384     , 0.753174            
16384     , 0.745850            
16384     , 0.747803            
16384     , 0.638672            
16384     , 0.639160            
16384     , 0.749023            
16384     , 0.753906            
16384     , 0.729248            
16384     , 0.749023            
32768     , 1.146973            
32768     , 1.157959            
32768     , 1.262939            
32768     , 1.253906            
32768     , 1.209961            
32768     , 1.212158            
32768     , 1.253418            
32768     , 1.149902            
32768     , 1.149170            
32768     , 1.248047            
32768     , 1.261719            
32768     , 1.263184            
32768     , 1.339111            
32768     , 1.260986            
32768     , 1.253662            
32768     , 1.261230            
32768     , 1.252686            
32768     , 1.261230            
32768     , 1.151611            
32768     , 1.262695            
32768     , 1.363037            
32768     , 1.261963            
32768     , 1.262939            
32768     , 1.213135            
32768     , 1.273926            
65536     , 2.254883            
65536     , 2.168945            
65536     , 2.278809            
65536     , 2.281738            
65536     , 2.263184            
65536     , 2.182129            
65536     , 2.182129            
65536     , 2.284668            
65536     , 2.182373            
65536     , 2.247559            
65536     , 2.181885            
65536     , 2.267090            
65536     , 2.253174            
65536     , 2.184082            
65536     , 2.182373            
65536     , 2.268066            
65536     , 2.273926            
65536     , 2.185059            
65536     , 2.258789            
65536     , 2.182129            
65536     , 2.184082            
65536     , 2.193848            
65536     , 2.187744            
65536     , 2.285156            
65536     , 2.262939            
131072    , 4.304688            
131072    , 4.316650            
131072    , 4.306641            
131072    , 4.302002            
131072    , 4.323730            
131072    , 4.354004            
131072    , 4.303711            
131072    , 4.374023            
131072    , 4.304199            
131072    , 4.373291            
131072    , 4.307861            
131072    , 4.383057            
131072    , 4.376709            
131072    , 4.385010            
131072    , 4.306641            
131072    , 4.306152            
131072    , 4.305176            
131072    , 4.301270            
131072    , 4.334961            
131072    , 4.304932            
131072    , 4.316895            
131072    , 4.333984            
131072    , 4.304443            
131072    , 4.328857            
131072    , 4.328125            
262144    , 8.523926            
262144    , 8.534912            
262144    , 8.531738            
262144    , 8.533936            
262144    , 8.536133            
262144    , 8.528809            
262144    , 8.536865            
262144    , 8.534912            
262144    , 8.533203            
262144    , 8.537109            
262144    , 8.530273            
262144    , 8.532959            
262144    , 8.535156            
262144    , 8.531006            
262144    , 8.537109            
262144    , 8.526123            
262144    , 8.532715            
262144    , 8.534912            
262144    , 8.534180            
262144    , 8.542969            
262144    , 8.530762            
262144    , 8.528076            
262144    , 8.541016            
262144    , 8.534912            
262144    , 8.528076            
524288    , 16.815918           
524288    , 16.808838           
524288    , 16.814697           
524288    , 16.811279           
524288    , 16.820801           
524288    , 16.893555           
524288    , 16.819092           
524288    , 16.812744           
524288    , 16.813965           
524288    , 16.812744           
524288    , 16.884277           
524288    , 16.816162           
524288    , 16.812256           
524288    , 16.811523           
524288    , 16.815918           
524288    , 16.846191           
524288    , 16.813965           
524288    , 16.813721           
524288    , 16.894043           
524288    , 16.812256           
524288    , 16.815918           
524288    , 16.814697           
524288    , 16.808838           
524288    , 16.813232           
524288    , 16.812012           
