# elements, time                
4096      , 0.092773            
4096      , 0.084717            
4096      , 0.086914            
4096      , 0.086914            
4096      , 0.086914            
4096      , 0.085693            
4096      , 0.087158            
4096      , 0.086670            
4096      , 0.086914            
4096      , 0.087891            
4096      , 0.088135            
4096      , 0.087158            
4096      , 0.085938            
4096      , 0.086914            
4096      , 0.087158            
4096      , 0.096924            
4096      , 0.098877            
4096      , 0.088135            
4096      , 0.088867            
4096      , 0.086914            
4096      , 0.086182            
4096      , 0.086914            
4096      , 0.086914            
4096      , 0.089111            
4096      , 0.083252            
8192      , 0.113037            
8192      , 0.108643            
8192      , 0.107666            
8192      , 0.109375            
8192      , 0.109131            
8192      , 0.122559            
8192      , 0.108887            
8192      , 0.110107            
8192      , 0.109131            
8192      , 0.109619            
8192      , 0.107910            
8192      , 0.101074            
8192      , 0.131348            
8192      , 0.108154            
8192      , 0.181885            
8192      , 0.108154            
8192      , 0.108643            
8192      , 0.115723            
8192      , 0.109863            
8192      , 0.120361            
8192      , 0.111084            
8192      , 0.108887            
8192      , 0.182129            
8192      , 0.107910            
8192      , 0.108154            
16384     , 0.174805            
16384     , 0.191895            
16384     , 0.194092            
16384     , 0.194824            
16384     , 0.193359            
16384     , 0.192871            
16384     , 0.188965            
16384     , 0.174805            
16384     , 0.190186            
16384     , 0.183838            
16384     , 0.191895            
16384     , 0.189697            
16384     , 0.193115            
16384     , 0.197998            
16384     , 0.176270            
16384     , 0.190918            
16384     , 0.191162            
16384     , 0.189941            
16384     , 0.175049            
16384     , 0.191650            
16384     , 0.176025            
16384     , 0.190918            
16384     , 0.194092            
16384     , 0.201172            
16384     , 0.191162            
32768     , 0.244873            
32768     , 0.439941            
32768     , 0.281250            
32768     , 0.246094            
32768     , 0.271240            
32768     , 0.243164            
32768     , 0.272217            
32768     , 0.281006            
32768     , 0.270996            
32768     , 0.240234            
32768     , 0.455078            
32768     , 0.269775            
32768     , 0.270020            
32768     , 0.266357            
32768     , 0.453857            
32768     , 0.249023            
32768     , 0.416016            
32768     , 0.278076            
32768     , 0.253662            
32768     , 0.269043            
32768     , 0.243164            
32768     , 0.273193            
32768     , 0.262207            
32768     , 0.240723            
32768     , 0.271973            
65536     , 0.421143            
65536     , 0.418945            
65536     , 0.419922            
65536     , 0.433105            
65536     , 0.413330            
65536     , 0.613037            
65536     , 0.439941            
65536     , 0.440186            
65536     , 0.442139            
65536     , 0.419922            
65536     , 0.434570            
65536     , 0.437012            
65536     , 0.440918            
65536     , 0.444092            
65536     , 0.419678            
65536     , 0.442871            
65536     , 0.439941            
65536     , 0.434082            
65536     , 0.439941            
65536     , 0.429932            
65536     , 0.414307            
65536     , 0.441895            
65536     , 0.415039            
65536     , 0.439941            
65536     , 0.436279            
131072    , 0.907959            
131072    , 0.727783            
131072    , 0.736572            
131072    , 0.726562            
131072    , 0.727051            
131072    , 0.724121            
131072    , 0.729004            
131072    , 0.739258            
131072    , 0.729980            
131072    , 0.737061            
131072    , 0.742920            
131072    , 0.732666            
131072    , 0.727051            
131072    , 0.755371            
131072    , 0.733887            
131072    , 0.993896            
131072    , 0.728027            
131072    , 0.740479            
131072    , 0.729980            
131072    , 0.725586            
131072    , 0.728271            
131072    , 0.726807            
131072    , 0.761963            
131072    , 0.727051            
131072    , 0.735107            
262144    , 1.377197            
262144    , 1.369141            
262144    , 1.375244            
262144    , 1.380127            
262144    , 1.378174            
262144    , 1.376953            
262144    , 1.380859            
262144    , 1.378174            
262144    , 1.374023            
262144    , 1.375244            
262144    , 1.362061            
262144    , 1.376221            
262144    , 1.369141            
262144    , 1.383789            
262144    , 1.379150            
262144    , 1.367188            
262144    , 1.379150            
262144    , 1.362305            
262144    , 1.377930            
262144    , 1.374756            
262144    , 1.384033            
262144    , 1.372314            
262144    , 1.362793            
262144    , 1.368164            
262144    , 1.368164            
524288    , 2.569824            
524288    , 2.581055            
524288    , 2.564453            
524288    , 2.561035            
524288    , 2.584961            
524288    , 2.583008            
524288    , 2.560303            
524288    , 2.562012            
524288    , 2.564209            
524288    , 2.552246            
524288    , 2.566162            
524288    , 2.570068            
524288    , 2.552979            
524288    , 2.576904            
524288    , 2.562012            
524288    , 2.563965            
524288    , 2.572998            
524288    , 2.561035            
524288    , 2.568359            
524288    , 2.562988            
524288    , 2.567139            
524288    , 2.560791            
524288    , 2.572998            
524288    , 2.558105            
524288    , 2.554688            
4096      , 8.672852            
4096      , 8.601807            
4096      , 8.618408            
