# elements, time                
4096      , 0.072998            
4096      , 0.072021            
4096      , 0.071289            
4096      , 0.064941            
4096      , 0.073975            
4096      , 0.081055            
4096      , 0.072754            
4096      , 0.063232            
4096      , 0.064209            
4096      , 0.063721            
4096      , 0.062988            
4096      , 0.063965            
4096      , 0.063965            
4096      , 0.065186            
4096      , 0.063965            
4096      , 0.065186            
4096      , 0.072998            
4096      , 0.073975            
4096      , 0.064941            
4096      , 0.065186            
4096      , 0.065430            
4096      , 0.073242            
4096      , 0.073242            
4096      , 0.072754            
4096      , 0.072266            
8192      , 0.090088            
8192      , 0.091064            
8192      , 0.091064            
8192      , 0.090820            
8192      , 0.091797            
8192      , 0.090820            
8192      , 0.095215            
8192      , 0.100098            
8192      , 0.088623            
8192      , 0.099609            
8192      , 0.090088            
8192      , 0.089111            
8192      , 0.088867            
8192      , 0.092041            
8192      , 0.090088            
8192      , 0.089844            
8192      , 0.091064            
8192      , 0.094238            
8192      , 0.092773            
8192      , 0.093994            
8192      , 0.093994            
8192      , 0.090820            
8192      , 0.091064            
8192      , 0.089600            
8192      , 0.089844            
16384     , 0.161377            
16384     , 0.158936            
16384     , 0.160156            
16384     , 0.160889            
16384     , 0.160156            
16384     , 0.159912            
16384     , 0.161865            
16384     , 0.159912            
16384     , 0.159668            
16384     , 0.166992            
16384     , 0.161133            
16384     , 0.161133            
16384     , 0.167969            
16384     , 0.160889            
16384     , 0.159668            
16384     , 0.162109            
16384     , 0.158936            
16384     , 0.160889            
16384     , 0.160889            
16384     , 0.161621            
16384     , 0.160645            
16384     , 0.161865            
16384     , 0.160156            
16384     , 0.158936            
16384     , 0.158691            
32768     , 0.205322            
32768     , 0.203125            
32768     , 0.200684            
32768     , 0.212891            
32768     , 0.200928            
32768     , 0.203125            
32768     , 0.200439            
32768     , 0.210938            
32768     , 0.204102            
32768     , 0.203125            
32768     , 0.203125            
32768     , 0.200928            
32768     , 0.201904            
32768     , 0.200684            
32768     , 0.226807            
32768     , 0.204102            
32768     , 0.202881            
32768     , 0.210938            
32768     , 0.208252            
32768     , 0.210205            
32768     , 0.202148            
32768     , 0.200439            
32768     , 0.199951            
32768     , 0.201172            
32768     , 0.209229            
65536     , 0.296143            
65536     , 0.307373            
65536     , 0.291748            
65536     , 0.303955            
65536     , 0.298828            
65536     , 0.297852            
65536     , 0.299805            
65536     , 0.299805            
65536     , 0.298828            
65536     , 0.298096            
65536     , 0.305664            
65536     , 0.300049            
65536     , 0.301025            
65536     , 0.299072            
65536     , 0.303223            
65536     , 0.297852            
65536     , 0.301025            
65536     , 0.294922            
65536     , 0.289062            
65536     , 0.300781            
65536     , 0.297607            
65536     , 0.295898            
65536     , 0.298828            
65536     , 0.298096            
65536     , 0.300049            
131072    , 0.469971            
131072    , 0.474121            
131072    , 0.473877            
131072    , 0.474121            
131072    , 0.475830            
131072    , 0.449951            
131072    , 0.468262            
131072    , 0.459717            
131072    , 0.475098            
131072    , 0.461670            
131072    , 0.452148            
131072    , 0.466064            
131072    , 0.473389            
131072    , 0.475586            
131072    , 0.473145            
131072    , 0.461182            
131072    , 0.463135            
131072    , 0.474121            
131072    , 0.459961            
131072    , 0.470947            
131072    , 0.467773            
131072    , 0.467041            
131072    , 0.479004            
131072    , 0.477051            
131072    , 0.466797            
262144    , 0.859131            
262144    , 0.848877            
262144    , 0.853027            
262144    , 0.862549            
262144    , 0.862061            
262144    , 0.853027            
262144    , 0.837158            
262144    , 0.860840            
262144    , 0.855957            
262144    , 0.854248            
262144    , 0.843994            
262144    , 0.850342            
262144    , 0.860840            
262144    , 0.848877            
262144    , 0.862793            
262144    , 0.850098            
262144    , 0.865967            
262144    , 0.854980            
262144    , 0.849854            
262144    , 0.839355            
262144    , 0.846191            
262144    , 0.864258            
262144    , 0.860840            
262144    , 0.860840            
262144    , 0.848877            
524288    , 1.564453            
524288    , 1.565430            
524288    , 1.581055            
524288    , 1.567139            
524288    , 1.572021            
524288    , 1.576416            
524288    , 1.572998            
524288    , 1.579102            
524288    , 1.571045            
524288    , 1.564209            
524288    , 1.583984            
524288    , 1.562744            
524288    , 1.565186            
524288    , 1.583008            
524288    , 1.574219            
524288    , 1.581299            
524288    , 1.557617            
524288    , 1.569824            
524288    , 1.570801            
524288    , 1.571777            
524288    , 1.571045            
524288    , 1.577393            
524288    , 1.568115            
524288    , 1.575439            
524288    , 1.577637            
