# nodes   , grid      , threads   , kernel calls        , time                
1024      , 2         , 512       , 7                   , 0.322998            
2048      , 4         , 512       , 7                   , 0.308838            
131072    , 256       , 512       , 10                  , 0.671143            
261444    , 511       , 512       , 12                  , 0.962891            
524288    , 1024      , 512       , 12                  , 1.813232            
1048576   , 2048      , 512       , 12                  , 4.974854            
2097152   , 4096      , 512       , 12                  , 13.888916           
4194304   , 8192      , 512       , 13                  , 29.850098           
8388608   , 16384     , 512       , 13                  , 67.919922           
16777216  , 32768     , 512       , 14                  , 130.912109          
