# nodes   , time                
1024      , 0.319092            
1024      , 0.323242            
1024      , 0.311035            
1024      , 0.308838            
1024      , 0.304932            
1024      , 0.296143            
1024      , 0.311279            
1024      , 0.437988            
1024      , 0.327148            
1024      , 0.427979            
1024      , 0.278076            
1024      , 0.314941            
1024      , 0.304932            
1024      , 0.312988            
1024      , 0.324951            
1024      , 0.314941            
1024      , 0.310791            
1024      , 0.306152            
1024      , 0.340088            
1024      , 0.323975            
1024      , 0.304199            
1024      , 0.301758            
1024      , 0.311035            
1024      , 0.317871            
1024      , 0.319824            
2048      , 0.315918            
2048      , 0.303955            
2048      , 0.321777            
2048      , 0.330078            
2048      , 0.345947            
2048      , 0.335938            
2048      , 0.331055            
2048      , 0.321045            
2048      , 0.531006            
2048      , 0.320068            
2048      , 0.327148            
2048      , 0.346191            
2048      , 0.321045            
2048      , 0.325928            
2048      , 0.346924            
2048      , 0.347656            
2048      , 0.315186            
2048      , 0.322754            
2048      , 0.320068            
2048      , 0.341797            
2048      , 0.322998            
2048      , 0.329102            
2048      , 0.330811            
2048      , 0.320068            
2048      , 0.314941            
131072    , 1.799805            
131072    , 1.782959            
131072    , 1.719971            
131072    , 1.800049            
131072    , 1.789062            
131072    , 1.813965            
131072    , 1.808838            
131072    , 1.807861            
131072    , 1.781982            
131072    , 1.797363            
131072    , 1.911865            
131072    , 1.832031            
131072    , 1.800049            
131072    , 1.805176            
131072    , 1.802002            
131072    , 1.787842            
131072    , 1.803955            
131072    , 1.778076            
131072    , 1.789062            
131072    , 1.810059            
131072    , 1.801758            
131072    , 1.785889            
131072    , 1.781982            
131072    , 1.788818            
131072    , 1.781006            
261444    , 4.215820            
261444    , 4.210938            
261444    , 4.224121            
261444    , 4.221191            
261444    , 4.217041            
261444    , 4.239990            
261444    , 4.231934            
261444    , 4.273926            
261444    , 4.208008            
261444    , 4.212891            
261444    , 4.244873            
261444    , 4.239014            
261444    , 4.222656            
261444    , 4.219971            
261444    , 4.229980            
261444    , 4.374023            
261444    , 4.206299            
261444    , 4.243652            
261444    , 4.232910            
261444    , 4.213135            
261444    , 4.180908            
261444    , 4.240967            
261444    , 4.178223            
261444    , 4.238770            
261444    , 4.258789            
524288    , 9.777100            
524288    , 9.749023            
524288    , 9.799805            
524288    , 9.729004            
524288    , 9.800049            
524288    , 9.794922            
524288    , 9.751953            
524288    , 9.869873            
524288    , 9.841064            
524288    , 9.786865            
524288    , 9.805908            
524288    , 9.769043            
524288    , 9.772217            
524288    , 9.788086            
524288    , 9.780029            
524288    , 9.816895            
524288    , 9.796875            
524288    , 9.790771            
524288    , 9.814941            
524288    , 9.762207            
524288    , 9.720947            
524288    , 9.791992            
524288    , 9.793945            
524288    , 9.802979            
524288    , 9.807129            
1048576   , 22.404785           
1048576   , 22.484131           
1048576   , 22.437012           
1048576   , 22.386963           
1048576   , 22.361816           
1048576   , 22.413086           
1048576   , 22.412842           
1048576   , 22.410889           
1048576   , 22.385254           
1048576   , 22.302246           
