# nodes   , time                
1024      , 0.258789            
1024      , 0.233887            
1024      , 0.238037            
1024      , 0.235107            
1024      , 0.229980            
1024      , 0.229980            
1024      , 0.235840            
1024      , 0.239990            
1024      , 0.189209            
1024      , 0.209961            
1024      , 0.210205            
1024      , 0.191895            
1024      , 0.191895            
1024      , 0.192871            
1024      , 0.196045            
1024      , 0.197998            
1024      , 0.230957            
1024      , 0.239014            
1024      , 0.228027            
1024      , 0.231201            
1024      , 0.232910            
1024      , 0.218018            
1024      , 0.189941            
1024      , 0.227051            
1024      , 0.195068            
2048      , 0.201904            
2048      , 0.239990            
2048      , 0.210938            
2048      , 0.222168            
2048      , 0.201904            
2048      , 0.212891            
2048      , 0.236084            
2048      , 0.245117            
2048      , 0.238037            
2048      , 0.235107            
2048      , 0.231934            
2048      , 0.210938            
2048      , 0.237061            
2048      , 0.235840            
2048      , 0.215820            
2048      , 0.239014            
2048      , 0.233154            
2048      , 0.247803            
2048      , 0.252930            
2048      , 0.275879            
2048      , 0.204102            
2048      , 0.207031            
2048      , 0.218994            
2048      , 0.204834            
2048      , 0.199951            
131072    , 0.487061            
131072    , 0.503906            
131072    , 0.489990            
131072    , 0.489014            
131072    , 0.489746            
131072    , 0.484863            
131072    , 0.462158            
131072    , 0.446045            
131072    , 0.443115            
131072    , 0.479004            
131072    , 0.479004            
131072    , 0.480225            
131072    , 0.483154            
131072    , 0.448975            
131072    , 0.482910            
131072    , 0.493896            
131072    , 0.485107            
131072    , 0.458984            
131072    , 0.446045            
131072    , 0.455078            
131072    , 0.456055            
131072    , 0.481201            
131072    , 0.485107            
131072    , 0.486816            
131072    , 0.489014            
261444    , 0.733887            
261444    , 0.697754            
261444    , 0.698975            
261444    , 0.763916            
261444    , 0.745605            
261444    , 0.687012            
261444    , 0.693848            
261444    , 0.690918            
261444    , 0.684814            
261444    , 0.750977            
261444    , 0.698730            
261444    , 0.695068            
261444    , 0.705811            
261444    , 0.702881            
261444    , 0.764893            
261444    , 0.749023            
261444    , 0.698975            
261444    , 0.701904            
261444    , 0.688965            
261444    , 0.695801            
261444    , 0.744141            
261444    , 0.749023            
261444    , 0.689941            
261444    , 0.746826            
261444    , 0.692871            
524288    , 1.357178            
524288    , 1.348145            
524288    , 1.354736            
524288    , 1.352051            
524288    , 1.534912            
524288    , 1.354004            
524288    , 1.359863            
524288    , 1.350098            
524288    , 1.358887            
524288    , 1.354248            
524288    , 1.358887            
524288    , 1.492920            
524288    , 1.370850            
524288    , 1.356201            
524288    , 1.350098            
524288    , 1.360840            
524288    , 1.360840            
524288    , 1.364990            
524288    , 1.359863            
524288    , 1.355957            
524288    , 1.354980            
524288    , 1.350098            
524288    , 1.350830            
524288    , 1.347168            
524288    , 1.351074            
1048576   , 3.708984            
1048576   , 3.736816            
1048576   , 3.711914            
1048576   , 3.709961            
1048576   , 3.854980            
1048576   , 3.724854            
1048576   , 3.702148            
1048576   , 3.708984            
1048576   , 3.707275            
1048576   , 3.702148            
1048576   , 3.857910            
1048576   , 3.855957            
1048576   , 3.706787            
1048576   , 3.705078            
1048576   , 3.719238            
1048576   , 3.715088            
1048576   , 3.877197            
1048576   , 3.721924            
1048576   , 3.711914            
1048576   , 3.845215            
1048576   , 3.718750            
1048576   , 3.728027            
1048576   , 3.718018            
1048576   , 3.706055            
1048576   , 3.720947            
2097152   , 9.122070            
2097152   , 9.030273            
2097152   , 9.042969            
2097152   , 9.033936            
2097152   , 9.014160            
2097152   , 9.024170            
2097152   , 9.065186            
2097152   , 9.041992            
2097152   , 9.034912            
2097152   , 9.035889            
2097152   , 9.039062            
2097152   , 9.045166            
2097152   , 9.019043            
2097152   , 9.032959            
2097152   , 9.054199            
2097152   , 9.052979            
2097152   , 9.032959            
2097152   , 9.021973            
2097152   , 9.040283            
2097152   , 9.025146            
2097152   , 9.138184            
2097152   , 9.009033            
2097152   , 9.035645            
2097152   , 9.031738            
2097152   , 9.038086            
4194304   , 21.437012           
4194304   , 21.464111           
4194304   , 21.559082           
4194304   , 21.560059           
4194304   , 21.434082           
4194304   , 21.530762           
4194304   , 21.444092           
4194304   , 21.441895           
4194304   , 21.468018           
4194304   , 21.464111           
4194304   , 21.455078           
4194304   , 21.448975           
4194304   , 21.528076           
4194304   , 21.609131           
4194304   , 21.442139           
4194304   , 21.485107           
4194304   , 21.446045           
4194304   , 21.457031           
4194304   , 21.483887           
4194304   , 21.577148           
4194304   , 21.465088           
4194304   , 21.468750           
4194304   , 21.447754           
4194304   , 21.450928           
4194304   , 21.529053           
8388608   , 46.408936           
8388608   , 46.489014           
8388608   , 46.415039           
8388608   , 46.493164           
8388608   , 46.375977           
8388608   , 46.395020           
8388608   , 46.496094           
8388608   , 46.368896           
8388608   , 46.409180           
8388608   , 46.440674           
8388608   , 46.409912           
8388608   , 46.393311           
8388608   , 46.399170           
8388608   , 46.376953           
8388608   , 46.423096           
8388608   , 46.420166           
8388608   , 46.421143           
8388608   , 46.396973           
8388608   , 46.411133           
8388608   , 46.503906           
8388608   , 46.420898           
8388608   , 46.420166           
8388608   , 46.460938           
8388608   , 46.406006           
8388608   , 46.516113           
16777216  , 96.196777           
16777216  , 96.008057           
16777216  , 96.149902           
16777216  , 96.073730           
16777216  , 96.322754           
16777216  , 96.091064           
16777216  , 96.100098           
16777216  , 96.064697           
16777216  , 95.868164           
16777216  , 96.183838           
16777216  , 96.595947           
16777216  , 96.214111           
16777216  , 96.184082           
16777216  , 96.104980           
16777216  , 96.255859           
16777216  , 96.225830           
16777216  , 96.612793           
16777216  , 96.645020           
16777216  , 96.043945           
16777216  , 96.302979           
16777216  , 96.564941           
16777216  , 96.098877           
16777216  , 96.029785           
16777216  , 96.035156           
16777216  , 96.492920           
