# rows    , # cols    , height    , time                
10000     , 20        , 20        , 2.691162            
10000     , 20        , 20        , 2.530762            
10000     , 20        , 20        , 2.549072            
10000     , 20        , 20        , 1.911133            
10000     , 20        , 20        , 2.638916            
10000     , 20        , 20        , 2.687988            
10000     , 20        , 20        , 2.536133            
10000     , 20        , 20        , 2.508057            
10000     , 20        , 20        , 2.539062            
10000     , 20        , 20        , 2.656006            
10000     , 40        , 20        , 2.601074            
10000     , 40        , 20        , 2.568848            
10000     , 40        , 20        , 2.906738            
10000     , 40        , 20        , 2.637207            
10000     , 40        , 20        , 2.660889            
10000     , 40        , 20        , 3.139160            
10000     , 40        , 20        , 2.452637            
10000     , 40        , 20        , 2.604980            
10000     , 40        , 20        , 3.630859            
10000     , 40        , 20        , 2.614014            
20000     , 20        , 20        , 5.183105            
20000     , 20        , 20        , 3.487061            
20000     , 20        , 20        , 4.968262            
20000     , 20        , 20        , 5.540039            
20000     , 20        , 20        , 5.500000            
20000     , 20        , 20        , 3.413086            
20000     , 20        , 20        , 5.056885            
20000     , 20        , 20        , 5.294922            
20000     , 20        , 20        , 5.229736            
20000     , 20        , 20        , 5.000977            
20000     , 40        , 20        , 5.286133            
20000     , 40        , 20        , 4.978027            
20000     , 40        , 20        , 5.250977            
20000     , 40        , 20        , 5.254883            
20000     , 40        , 20        , 5.232910            
20000     , 40        , 20        , 5.275146            
20000     , 40        , 20        , 4.978027            
20000     , 40        , 20        , 5.416016            
20000     , 40        , 20        , 5.170898            
20000     , 40        , 20        , 5.076172            
40000     , 20        , 20        , 17.906738           
40000     , 20        , 20        , 17.911865           
40000     , 20        , 20        , 17.820068           
40000     , 20        , 20        , 17.927002           
40000     , 20        , 20        , 17.910156           
40000     , 20        , 20        , 17.909912           
40000     , 20        , 20        , 17.909912           
40000     , 20        , 20        , 17.888184           
40000     , 20        , 20        , 17.911865           
40000     , 20        , 20        , 18.008057           
40000     , 40        , 20        , 21.492920           
40000     , 40        , 20        , 21.475830           
40000     , 40        , 20        , 21.484863           
40000     , 40        , 20        , 21.483887           
40000     , 40        , 20        , 21.491943           
40000     , 40        , 20        , 21.486084           
40000     , 40        , 20        , 21.491943           
40000     , 40        , 20        , 21.494141           
40000     , 40        , 20        , 21.456055           
40000     , 40        , 20        , 21.488770           
