# rows    , # cols    , height    , time                
10000     , 20        , 20        , 2.757080            
10000     , 20        , 20        , 2.194092            
10000     , 20        , 20        , 2.256104            
10000     , 20        , 20        , 2.241943            
10000     , 20        , 20        , 2.189697            
10000     , 20        , 20        , 2.207031            
10000     , 20        , 20        , 2.235840            
10000     , 20        , 20        , 2.209717            
10000     , 20        , 20        , 3.724854            
10000     , 20        , 20        , 2.425781            
10000     , 40        , 20        , 2.241211            
10000     , 40        , 20        , 2.229004            
10000     , 40        , 20        , 2.203857            
10000     , 40        , 20        , 2.229004            
10000     , 40        , 20        , 2.187988            
10000     , 40        , 20        , 2.276855            
10000     , 40        , 20        , 2.212158            
10000     , 40        , 20        , 2.166992            
10000     , 40        , 20        , 2.172852            
10000     , 40        , 20        , 2.729736            
20000     , 20        , 20        , 4.338867            
20000     , 20        , 20        , 4.344971            
20000     , 20        , 20        , 4.551025            
20000     , 20        , 20        , 4.429199            
20000     , 20        , 20        , 4.357178            
20000     , 20        , 20        , 4.433105            
20000     , 20        , 20        , 4.711914            
20000     , 20        , 20        , 4.402832            
20000     , 20        , 20        , 4.375000            
20000     , 20        , 20        , 4.338135            
20000     , 40        , 20        , 4.392090            
20000     , 40        , 20        , 4.343018            
20000     , 40        , 20        , 4.394043            
20000     , 40        , 20        , 4.418701            
20000     , 40        , 20        , 4.882080            
20000     , 40        , 20        , 4.355957            
20000     , 40        , 20        , 4.375977            
20000     , 40        , 20        , 4.512207            
20000     , 40        , 20        , 4.597168            
20000     , 40        , 20        , 4.358154            
40000     , 20        , 20        , 15.621826           
40000     , 20        , 20        , 15.654785           
40000     , 20        , 20        , 15.622070           
40000     , 20        , 20        , 15.632812           
40000     , 20        , 20        , 15.660889           
40000     , 20        , 20        , 15.625000           
40000     , 20        , 20        , 15.653076           
40000     , 20        , 20        , 15.656006           
40000     , 20        , 20        , 15.636963           
40000     , 20        , 20        , 15.957275           
40000     , 40        , 20        , 16.391113           
40000     , 40        , 20        , 16.424805           
40000     , 40        , 20        , 16.386963           
40000     , 40        , 20        , 16.395996           
40000     , 40        , 20        , 16.393066           
40000     , 40        , 20        , 16.432129           
40000     , 40        , 20        , 16.385986           
40000     , 40        , 20        , 16.409180           
40000     , 40        , 20        , 16.371826           
40000     , 40        , 20        , 16.721924           
