# rows    , # cols    , height    , time                
10000     , 20        , 20        , 2.129883            
10000     , 20        , 20        , 1.894043            
10000     , 20        , 20        , 1.935059            
10000     , 20        , 20        , 2.037842            
10000     , 20        , 20        , 1.856934            
10000     , 20        , 20        , 1.928955            
10000     , 20        , 20        , 1.888916            
10000     , 20        , 20        , 1.883057            
10000     , 20        , 20        , 1.415039            
10000     , 20        , 20        , 1.417969            
10000     , 40        , 20        , 1.875977            
10000     , 40        , 20        , 1.875000            
10000     , 40        , 20        , 1.911865            
10000     , 40        , 20        , 1.891113            
10000     , 40        , 20        , 1.877930            
10000     , 40        , 20        , 1.886963            
10000     , 40        , 20        , 1.873047            
10000     , 40        , 20        , 1.928955            
10000     , 40        , 20        , 2.017090            
10000     , 40        , 20        , 1.885010            
20000     , 20        , 20        , 3.719971            
20000     , 20        , 20        , 3.864014            
20000     , 20        , 20        , 3.966309            
20000     , 20        , 20        , 3.716064            
20000     , 20        , 20        , 3.741943            
20000     , 20        , 20        , 3.706787            
20000     , 20        , 20        , 3.792969            
20000     , 20        , 20        , 3.758789            
20000     , 20        , 20        , 3.737793            
20000     , 20        , 20        , 3.722900            
20000     , 40        , 20        , 3.739014            
20000     , 40        , 20        , 3.743164            
20000     , 40        , 20        , 3.633057            
20000     , 40        , 20        , 2.817871            
20000     , 40        , 20        , 2.919922            
20000     , 40        , 20        , 2.851807            
20000     , 40        , 20        , 3.708984            
20000     , 40        , 20        , 3.681885            
20000     , 40        , 20        , 3.681885            
20000     , 40        , 20        , 3.676025            
40000     , 20        , 20        , 9.799072            
40000     , 20        , 20        , 9.787842            
40000     , 20        , 20        , 9.805176            
40000     , 20        , 20        , 9.790039            
40000     , 20        , 20        , 9.788086            
40000     , 20        , 20        , 9.795166            
40000     , 20        , 20        , 9.789795            
40000     , 20        , 20        , 9.800293            
40000     , 20        , 20        , 9.793213            
40000     , 20        , 20        , 9.791016            
40000     , 40        , 20        , 10.142822           
40000     , 40        , 20        , 10.142090           
40000     , 40        , 20        , 10.139893           
40000     , 40        , 20        , 10.135986           
40000     , 40        , 20        , 10.137207           
40000     , 40        , 20        , 10.137939           
40000     , 40        , 20        , 10.134277           
40000     , 40        , 20        , 10.125732           
40000     , 40        , 20        , 10.526855           
40000     , 40        , 20        , 10.140381           
