Size N    , Utilization U       , Affinity A, BlockNum B, ThreadsNum T        , Random X  , time (ms)           
32        , 1.000000            , 1         , 1         , 32                  , 1         , 1.412786            
32        , 1.000000            , 1         , 1         , 32                  , 1         , 1.073076            
32        , 1.000000            , 1         , 1         , 32                  , 1         , 1.137051            
32        , 1.000000            , 1         , 1         , 32                  , 1         , 1.102055            
32        , 1.000000            , 1         , 1         , 32                  , 1         , 1.113007            
32        , 1.000000            , 1         , 1         , 32                  , 1         , 1.103964            
32        , 1.000000            , 1         , 1         , 32                  , 1         , 1.085085            
32        , 1.000000            , 1         , 1         , 32                  , 1         , 1.103144            
32        , 1.000000            , 1         , 1         , 32                  , 1         , 1.092039            
32        , 1.000000            , 1         , 1         , 32                  , 1         , 1.231075            
32        , 1.000000            , 1         , 1         , 32                  , 1         , 1.066870            
32        , 1.000000            , 1         , 1         , 32                  , 1         , 1.097986            
32        , 1.000000            , 1         , 1         , 32                  , 1         , 1.092005            
32        , 1.000000            , 1         , 1         , 32                  , 1         , 1.112986            
32        , 1.000000            , 1         , 1         , 32                  , 1         , 1.108042            
32        , 1.000000            , 1         , 1         , 32                  , 1         , 1.144817            
32        , 1.000000            , 1         , 1         , 32                  , 1         , 1.085949            
32        , 1.000000            , 1         , 1         , 32                  , 1         , 1.102970            
32        , 1.000000            , 1         , 1         , 32                  , 1         , 1.203007            
32        , 1.000000            , 1         , 1         , 32                  , 1         , 1.077900            
32        , 1.000000            , 1         , 2         , 32                  , 1         , 1.888962            
32        , 1.000000            , 1         , 2         , 32                  , 1         , 1.935915            
32        , 1.000000            , 1         , 2         , 32                  , 1         , 2.494011            
32        , 1.000000            , 1         , 2         , 32                  , 1         , 2.323000            
32        , 1.000000            , 1         , 2         , 32                  , 1         , 2.095324            
32        , 1.000000            , 1         , 2         , 32                  , 1         , 2.095032            
32        , 1.000000            , 1         , 2         , 32                  , 1         , 2.139080            
32        , 1.000000            , 1         , 2         , 32                  , 1         , 2.110941            
32        , 1.000000            , 1         , 2         , 32                  , 1         , 2.228010            
32        , 1.000000            , 1         , 2         , 32                  , 1         , 2.114012            
32        , 1.000000            , 1         , 2         , 32                  , 1         , 2.189829            
32        , 1.000000            , 1         , 2         , 32                  , 1         , 2.239967            
32        , 1.000000            , 1         , 2         , 32                  , 1         , 1.670162            
32        , 1.000000            , 1         , 2         , 32                  , 1         , 1.669167            
32        , 1.000000            , 1         , 2         , 32                  , 1         , 1.912100            
32        , 1.000000            , 1         , 2         , 32                  , 1         , 2.020996            
32        , 1.000000            , 1         , 2         , 32                  , 1         , 1.693039            
32        , 1.000000            , 1         , 2         , 32                  , 1         , 1.980110            
32        , 1.000000            , 1         , 2         , 32                  , 1         , 1.955004            
32        , 1.000000            , 1         , 2         , 32                  , 1         , 1.981110            
32        , 1.000000            , 1         , 3         , 32                  , 1         , 3.371868            
32        , 1.000000            , 1         , 3         , 32                  , 1         , 3.554924            
32        , 1.000000            , 1         , 3         , 32                  , 1         , 3.333197            
32        , 1.000000            , 1         , 3         , 32                  , 1         , 3.156000            
32        , 1.000000            , 1         , 3         , 32                  , 1         , 2.933105            
32        , 1.000000            , 1         , 3         , 32                  , 1         , 3.248056            
32        , 1.000000            , 1         , 3         , 32                  , 1         , 2.970085            
32        , 1.000000            , 1         , 3         , 32                  , 1         , 3.016842            
32        , 1.000000            , 1         , 3         , 32                  , 1         , 3.543879            
32        , 1.000000            , 1         , 3         , 32                  , 1         , 3.566921            
32        , 1.000000            , 1         , 3         , 32                  , 1         , 3.494137            
32        , 1.000000            , 1         , 3         , 32                  , 1         , 3.177168            
32        , 1.000000            , 1         , 3         , 32                  , 1         , 2.877943            
32        , 1.000000            , 1         , 3         , 32                  , 1         , 2.984049            
32        , 1.000000            , 1         , 3         , 32                  , 1         , 2.989084            
32        , 1.000000            , 1         , 3         , 32                  , 1         , 2.900198            
32        , 1.000000            , 1         , 3         , 32                  , 1         , 2.441957            
