Size N    , Utilization U       , Affinity A, BlockNum B, ThreadsNum T        , Random X  , time (ms)           
32        , 1.000000            , 1         , 1         , 32                  , 1         , 1.433105            
32        , 1.000000            , 1         , 1         , 32                  , 1         , 1.733643            
32        , 1.000000            , 1         , 1         , 32                  , 1         , 1.696045            
32        , 1.000000            , 1         , 1         , 32                  , 1         , 28.511963           
32        , 1.000000            , 1         , 1         , 32                  , 1         , 1.667969            
32        , 1.000000            , 1         , 1         , 32                  , 1         , 32.184082           
32        , 1.000000            , 1         , 1         , 32                  , 1         , 4.844727            
32        , 1.000000            , 1         , 1         , 32                  , 1         , 1.608154            
32        , 1.000000            , 1         , 1         , 32                  , 1         , 1.708008            
32        , 1.000000            , 1         , 1         , 32                  , 1         , 1.764893            
32        , 1.000000            , 1         , 1         , 32                  , 1         , 1.785156            
32        , 1.000000            , 1         , 1         , 32                  , 1         , 6.034912            
32        , 1.000000            , 1         , 1         , 32                  , 1         , 1.772949            
32        , 1.000000            , 1         , 1         , 32                  , 1         , 1.652100            
32        , 1.000000            , 1         , 1         , 32                  , 1         , 1.694092            
32        , 1.000000            , 1         , 1         , 32                  , 1         , 1.693848            
32        , 1.000000            , 1         , 1         , 32                  , 1         , 1.650879            
32        , 1.000000            , 1         , 1         , 32                  , 1         , 1.632080            
32        , 1.000000            , 1         , 1         , 32                  , 1         , 4.559082            
32        , 1.000000            , 1         , 1         , 32                  , 1         , 1.637939            
32        , 1.000000            , 1         , 2         , 32                  , 1         , 2.869873            
32        , 1.000000            , 1         , 2         , 32                  , 1         , 2.318359            
32        , 1.000000            , 1         , 2         , 32                  , 1         , 6.283203            
32        , 1.000000            , 1         , 2         , 32                  , 1         , 2.582031            
32        , 1.000000            , 1         , 2         , 32                  , 1         , 5.588135            
32        , 1.000000            , 1         , 2         , 32                  , 1         , 2.716064            
32        , 1.000000            , 1         , 2         , 32                  , 1         , 2.500244            
32        , 1.000000            , 1         , 2         , 32                  , 1         , 5.529053            
32        , 1.000000            , 1         , 2         , 32                  , 1         , 2.763916            
32        , 1.000000            , 1         , 2         , 32                  , 1         , 3.436279            
32        , 1.000000            , 1         , 2         , 32                  , 1         , 5.763916            
32        , 1.000000            , 1         , 2         , 32                  , 1         , 5.557861            
32        , 1.000000            , 1         , 2         , 32                  , 1         , 8.150146            
32        , 1.000000            , 1         , 2         , 32                  , 1         , 25.469971           
32        , 1.000000            , 1         , 2         , 32                  , 1         , 28.864990           
32        , 1.000000            , 1         , 2         , 32                  , 1         , 2.306885            
32        , 1.000000            , 1         , 2         , 32                  , 1         , 4.563721            
32        , 1.000000            , 1         , 2         , 32                  , 1         , 2.363770            
32        , 1.000000            , 1         , 2         , 32                  , 1         , 5.371094            
