Affinity  , Usage     , # rows    , # cols    , height    , time                
2         , 1.000000  , 10000     , 20        , 20        , 1636.147863         
2         , 1.000000  , 10000     , 20        , 20        , 1440.304998         
2         , 1.000000  , 10000     , 20        , 20        , 1257.930046         
2         , 1.000000  , 10000     , 20        , 20        , 1267.200836         
2         , 1.000000  , 10000     , 20        , 20        , 1289.240160         
2         , 1.000000  , 10000     , 20        , 20        , 1249.033077         
2         , 1.000000  , 10000     , 20        , 20        , 1261.579098         
2         , 1.000000  , 10000     , 20        , 20        , 1246.264837         
2         , 1.000000  , 10000     , 20        , 20        , 1269.196144         
2         , 1.000000  , 10000     , 20        , 20        , 1248.475155         
2         , 1.000000  , 10000     , 40        , 20        , 1255.617186         
2         , 1.000000  , 10000     , 40        , 20        , 1277.127144         
2         , 1.000000  , 10000     , 40        , 20        , 1327.131046         
2         , 1.000000  , 10000     , 40        , 20        , 1262.816290         
2         , 1.000000  , 10000     , 40        , 20        , 1273.790926         
2         , 1.000000  , 10000     , 40        , 20        , 1299.446203         
2         , 1.000000  , 10000     , 40        , 20        , 1246.635216         
2         , 1.000000  , 10000     , 40        , 20        , 1264.490902         
2         , 1.000000  , 10000     , 40        , 20        , 1259.689144         
2         , 1.000000  , 10000     , 40        , 20        , 1258.507868         
2         , 1.000000  , 20000     , 20        , 20        , 2497.643967         
2         , 1.000000  , 20000     , 20        , 20        , 2507.225019         
2         , 1.000000  , 20000     , 20        , 20        , 2490.416965         
2         , 1.000000  , 20000     , 20        , 20        , 2523.273067         
2         , 1.000000  , 20000     , 20        , 20        , 2527.252846         
2         , 1.000000  , 20000     , 20        , 20        , 2523.418280         
2         , 1.000000  , 20000     , 20        , 20        , 2527.329098         
2         , 1.000000  , 20000     , 20        , 20        , 2503.580154         
2         , 1.000000  , 20000     , 20        , 20        , 2555.197113         
2         , 1.000000  , 20000     , 20        , 20        , 2542.447086         
2         , 1.000000  , 20000     , 40        , 20        , 2532.077925         
2         , 1.000000  , 20000     , 40        , 20        , 2532.020178         
2         , 1.000000  , 20000     , 40        , 20        , 2555.717037         
2         , 1.000000  , 20000     , 40        , 20        , 2504.889072         
2         , 1.000000  , 20000     , 40        , 20        , 2507.632095         
2         , 1.000000  , 20000     , 40        , 20        , 2546.689877         
2         , 1.000000  , 20000     , 40        , 20        , 2533.224226         
2         , 1.000000  , 20000     , 40        , 20        , 2518.636101         
2         , 1.000000  , 20000     , 40        , 20        , 2551.407953         
2         , 1.000000  , 20000     , 40        , 20        , 2609.256935         
2         , 1.000000  , 40000     , 20        , 20        , 5170.593081         
2         , 1.000000  , 40000     , 20        , 20        , 5106.937227         
2         , 1.000000  , 40000     , 20        , 20        , 5060.305864         
2         , 1.000000  , 40000     , 20        , 20        , 5107.453033         
2         , 1.000000  , 40000     , 20        , 20        , 5085.041883         
2         , 1.000000  , 40000     , 20        , 20        , 5062.627195         
2         , 1.000000  , 40000     , 20        , 20        , 5089.563995         
2         , 1.000000  , 40000     , 20        , 20        , 5080.084955         
2         , 1.000000  , 40000     , 20        , 20        , 5061.703182         
2         , 1.000000  , 40000     , 20        , 20        , 5143.530027         
2         , 1.000000  , 40000     , 40        , 20        , 5095.774185         
2         , 1.000000  , 40000     , 40        , 20        , 5190.681978         
2         , 1.000000  , 40000     , 40        , 20        , 5239.693251         
2         , 1.000000  , 40000     , 40        , 20        , 5115.646906         
2         , 1.000000  , 40000     , 40        , 20        , 5084.072868         
2         , 1.000000  , 40000     , 40        , 20        , 5133.957903         
2         , 1.000000  , 40000     , 40        , 20        , 5072.985195         
2         , 1.000000  , 40000     , 40        , 20        , 5119.226254         
2         , 1.000000  , 40000     , 40        , 20        , 5108.420206         
2         , 1.000000  , 40000     , 40        , 20        , 5179.689840         
2         , 1.000000  , 100000    , 100       , 20        , 19275.001076        
