#Threads  , #elements , time                
120       , 4096      , 4.300781            
120       , 4096      , 3.902832            
120       , 4096      , 4.512207            
120       , 4096      , 3.437744            
120       , 4096      , 3.663086            
120       , 4096      , 3.514160            
120       , 4096      , 3.940674            
120       , 4096      , 3.771973            
120       , 4096      , 4.044189            
120       , 4096      , 3.035889            
120       , 4096      , 3.976807            
120       , 4096      , 3.570312            
120       , 4096      , 4.057129            
120       , 4096      , 4.396240            
120       , 4096      , 3.639160            
120       , 4096      , 3.287842            
120       , 4096      , 4.169922            
120       , 4096      , 3.400879            
120       , 4096      , 3.354736            
120       , 4096      , 4.944824            
120       , 4096      , 3.831299            
120       , 4096      , 3.158936            
120       , 4096      , 3.214111            
120       , 4096      , 3.545166            
120       , 4096      , 3.908691            
120       , 8192      , 4.674805            
120       , 8192      , 4.907715            
120       , 8192      , 3.634033            
120       , 8192      , 5.080078            
120       , 8192      , 3.739014            
120       , 8192      , 4.792725            
120       , 8192      , 3.606934            
120       , 8192      , 4.003906            
120       , 8192      , 3.557129            
120       , 8192      , 4.177002            
120       , 8192      , 3.720947            
120       , 8192      , 4.036133            
120       , 8192      , 4.950928            
120       , 8192      , 4.183838            
120       , 8192      , 3.779297            
120       , 8192      , 3.971924            
120       , 8192      , 3.964844            
120       , 8192      , 3.959229            
120       , 8192      , 4.664062            
120       , 8192      , 4.709229            
120       , 8192      , 3.937988            
120       , 8192      , 3.569824            
120       , 8192      , 3.832764            
120       , 8192      , 3.681641            
120       , 8192      , 4.513184            
120       , 16384     , 5.452881            
120       , 16384     , 5.965820            
120       , 16384     , 4.539062            
120       , 16384     , 5.007812            
120       , 16384     , 5.355957            
120       , 16384     , 4.868408            
120       , 16384     , 4.849121            
120       , 16384     , 5.002930            
120       , 16384     , 4.388916            
120       , 16384     , 4.418213            
120       , 16384     , 5.190918            
120       , 16384     , 4.865967            
120       , 16384     , 4.834717            
120       , 16384     , 5.116943            
120       , 16384     , 5.533691            
120       , 16384     , 5.492920            
120       , 16384     , 4.779053            
120       , 16384     , 5.063721            
120       , 16384     , 5.073242            
120       , 16384     , 5.841064            
120       , 16384     , 4.648682            
120       , 16384     , 4.932861            
120       , 16384     , 6.561768            
120       , 16384     , 4.482910            
120       , 16384     , 4.507812            
120       , 32768     , 7.749023            
120       , 32768     , 7.744629            
120       , 32768     , 6.249756            
120       , 32768     , 6.731934            
120       , 32768     , 6.418945            
120       , 32768     , 6.672852            
120       , 32768     , 5.549805            
120       , 32768     , 5.957031            
120       , 32768     , 7.666016            
120       , 32768     , 7.533936            
120       , 32768     , 7.004150            
120       , 32768     , 6.760254            
120       , 32768     , 7.155762            
120       , 32768     , 8.086426            
120       , 32768     , 6.143799            
120       , 32768     , 5.862305            
120       , 32768     , 6.993896            
120       , 32768     , 6.552979            
120       , 32768     , 6.491943            
120       , 32768     , 7.026123            
120       , 32768     , 5.908936            
120       , 32768     , 6.658936            
120       , 32768     , 6.878174            
120       , 32768     , 6.744141            
120       , 32768     , 6.840820            
120       , 65536     , 10.616943           
120       , 65536     , 9.844971            
120       , 65536     , 10.625977           
120       , 65536     , 9.520264            
120       , 65536     , 9.696289            
120       , 65536     , 10.981689           
120       , 65536     , 9.244385            
120       , 65536     , 10.159424           
120       , 65536     , 12.699951           
120       , 65536     , 10.657471           
120       , 65536     , 11.139893           
120       , 65536     , 10.204834           
120       , 65536     , 9.399170            
120       , 65536     , 10.802246           
120       , 65536     , 9.387939            
120       , 65536     , 10.522705           
120       , 65536     , 11.260742           
120       , 65536     , 8.637939            
120       , 65536     , 11.153320           
120       , 65536     , 10.229248           
120       , 65536     , 10.284912           
120       , 65536     , 9.923096            
120       , 65536     , 10.334717           
120       , 65536     , 9.316895            
120       , 65536     , 10.639404           
120       , 131072    , 16.191895           
120       , 131072    , 19.697998           
120       , 131072    , 15.647705           
120       , 131072    , 16.573730           
120       , 131072    , 18.603027           
120       , 131072    , 16.163818           
120       , 131072    , 15.263184           
120       , 131072    , 19.235840           
120       , 131072    , 19.835938           
120       , 131072    , 16.625244           
120       , 131072    , 16.583252           
120       , 131072    , 16.419189           
120       , 131072    , 15.941895           
120       , 131072    , 16.843506           
120       , 131072    , 16.565186           
120       , 131072    , 14.958008           
120       , 131072    , 16.292725           
120       , 131072    , 15.372070           
120       , 131072    , 16.799805           
120       , 131072    , 18.308838           
120       , 131072    , 16.291260           
120       , 131072    , 17.757080           
120       , 131072    , 17.092773           
120       , 131072    , 16.005127           
120       , 131072    , 16.409912           
120       , 262144    , 29.763916           
120       , 262144    , 29.083008           
120       , 262144    , 31.190186           
120       , 262144    , 30.983887           
120       , 262144    , 28.857666           
120       , 262144    , 29.572021           
120       , 262144    , 28.498291           
120       , 262144    , 29.428955           
120       , 262144    , 29.331055           
120       , 262144    , 30.026855           
120       , 262144    , 28.368896           
120       , 262144    , 32.612793           
120       , 262144    , 30.199951           
120       , 262144    , 31.083008           
120       , 262144    , 34.440186           
120       , 262144    , 28.965332           
120       , 262144    , 30.879150           
120       , 262144    , 31.985107           
120       , 262144    , 31.794678           
120       , 262144    , 31.656250           
120       , 262144    , 27.531006           
120       , 262144    , 29.420654           
120       , 262144    , 29.148926           
120       , 262144    , 25.279297           
120       , 262144    , 29.936035           
120       , 524288    , 61.541016           
120       , 524288    , 53.643066           
120       , 524288    , 54.906982           
120       , 524288    , 64.083984           
120       , 524288    , 58.291992           
120       , 524288    , 54.122070           
120       , 524288    , 55.290283           
120       , 524288    , 57.192139           
120       , 524288    , 57.312012           
120       , 524288    , 55.145020           
120       , 524288    , 53.159912           
120       , 524288    , 59.510010           
120       , 524288    , 54.236084           
120       , 524288    , 56.326172           
120       , 524288    , 54.062012           
120       , 524288    , 57.536133           
120       , 524288    , 58.267090           
120       , 524288    , 56.510742           
120       , 524288    , 54.090088           
120       , 524288    , 58.534668           
120       , 524288    , 61.018066           
120       , 524288    , 55.134277           
120       , 524288    , 52.432861           
120       , 524288    , 59.786133           
120       , 524288    , 61.006836           
