Affinity  , Usage     , # nodes   , time                
1         , 1.000000  , 1024      , 537.336914          
1         , 1.000000  , 1024      , 496.335938          
1         , 1.000000  , 1024      , 543.400146          
1         , 1.000000  , 1024      , 543.500977          
1         , 1.000000  , 1024      , 487.752197          
1         , 1.000000  , 1024      , 543.160889          
1         , 1.000000  , 1024      , 536.167236          
1         , 1.000000  , 1024      , 546.892090          
1         , 1.000000  , 1024      , 547.462158          
1         , 1.000000  , 1024      , 498.886963          
1         , 1.000000  , 1024      , 534.673096          
1         , 1.000000  , 1024      , 538.198975          
1         , 1.000000  , 1024      , 535.031982          
1         , 1.000000  , 1024      , 537.499023          
1         , 1.000000  , 1024      , 535.292236          
1         , 1.000000  , 1024      , 533.988037          
1         , 1.000000  , 1024      , 536.076904          
1         , 1.000000  , 1024      , 497.520020          
1         , 1.000000  , 1024      , 540.865967          
1         , 1.000000  , 1024      , 539.772217          
1         , 1.000000  , 1024      , 541.783691          
1         , 1.000000  , 1024      , 495.473877          
1         , 1.000000  , 1024      , 542.586182          
1         , 1.000000  , 1024      , 545.170166          
1         , 1.000000  , 1024      , 531.089844          
2         , 1.000000  , 1024      , 579.219971          
2         , 1.000000  , 1024      , 578.617188          
2         , 1.000000  , 1024      , 534.485840          
2         , 1.000000  , 1024      , 588.252930          
2         , 1.000000  , 1024      , 581.093750          
2         , 1.000000  , 1024      , 577.364014          
2         , 1.000000  , 1024      , 580.708984          
2         , 1.000000  , 1024      , 575.272705          
2         , 1.000000  , 1024      , 543.407959          
2         , 1.000000  , 1024      , 582.127686          
2         , 1.000000  , 1024      , 589.586914          
2         , 1.000000  , 1024      , 575.027100          
2         , 1.000000  , 1024      , 581.348145          
2         , 1.000000  , 1024      , 586.003174          
2         , 1.000000  , 1024      , 574.733154          
2         , 1.000000  , 1024      , 579.164062          
2         , 1.000000  , 1024      , 532.335938          
2         , 1.000000  , 1024      , 581.637207          
2         , 1.000000  , 1024      , 532.676025          
2         , 1.000000  , 1024      , 581.532959          
2         , 1.000000  , 1024      , 576.210938          
2         , 1.000000  , 1024      , 533.822998          
2         , 1.000000  , 1024      , 584.437256          
2         , 1.000000  , 1024      , 582.717773          
2         , 1.000000  , 1024      , 526.188965          
3         , 1.000000  , 1024      , 576.431885          
3         , 1.000000  , 1024      , 533.637939          
3         , 1.000000  , 1024      , 578.647949          
3         , 1.000000  , 1024      , 571.739258          
3         , 1.000000  , 1024      , 579.354004          
3         , 1.000000  , 1024      , 536.983887          
3         , 1.000000  , 1024      , 581.266113          
3         , 1.000000  , 1024      , 541.367920          
3         , 1.000000  , 1024      , 568.824951          
3         , 1.000000  , 1024      , 547.694092          
3         , 1.000000  , 1024      , 582.333252          
3         , 1.000000  , 1024      , 542.679932          
3         , 1.000000  , 1024      , 533.905029          
3         , 1.000000  , 1024      , 580.340088          
3         , 1.000000  , 1024      , 579.547852          
3         , 1.000000  , 1024      , 535.790771          
3         , 1.000000  , 1024      , 995.101318          
3         , 1.000000  , 1024      , 586.437012          
3         , 1.000000  , 1024      , 571.193115          
3         , 1.000000  , 1024      , 545.495117          
3         , 1.000000  , 1024      , 568.110107          
3         , 1.000000  , 1024      , 587.476074          
3         , 1.000000  , 1024      , 536.912109          
3         , 1.000000  , 1024      , 589.670898          
3         , 1.000000  , 1024      , 582.203857          
4         , 1.000000  , 1024      , 550.774170          
4         , 1.000000  , 1024      , 578.117188          
4         , 1.000000  , 1024      , 572.364014          
4         , 1.000000  , 1024      , 576.389893          
4         , 1.000000  , 1024      , 581.163086          
4         , 1.000000  , 1024      , 582.764160          
4         , 1.000000  , 1024      , 578.022949          
4         , 1.000000  , 1024      , 579.270996          
4         , 1.000000  , 1024      , 548.863770          
4         , 1.000000  , 1024      , 576.257812          
4         , 1.000000  , 1024      , 592.938965          
