Affinity  , Usage     , # rows    , # cols    , height    , time                
1         , 1.000000  , 10000     , 20        , 20        , 29404.523926        
1         , 1.000000  , 10000     , 20        , 20        , 25704.775879        
1         , 1.000000  , 10000     , 20        , 20        , 27876.855957        
1         , 1.000000  , 10000     , 20        , 20        , 20094.355957        
1         , 1.000000  , 10000     , 20        , 20        , 19785.714844        
1         , 1.000000  , 10000     , 20        , 20        , 26084.143066        
1         , 1.000000  , 10000     , 20        , 20        , 24961.165771        
1         , 1.000000  , 10000     , 20        , 20        , 24229.725098        
1         , 1.000000  , 10000     , 20        , 20        , 23284.581055        
1         , 1.000000  , 10000     , 20        , 20        , 26309.386230        
2         , 1.000000  , 10000     , 20        , 20        , 25720.406006        
2         , 1.000000  , 10000     , 20        , 20        , 23122.216064        
2         , 1.000000  , 10000     , 20        , 20        , 19022.712891        
2         , 1.000000  , 10000     , 20        , 20        , 19677.333984        
2         , 1.000000  , 10000     , 20        , 20        , 24985.933105        
2         , 1.000000  , 10000     , 20        , 20        , 24469.169189        
2         , 1.000000  , 10000     , 20        , 20        , 26039.163818        
2         , 1.000000  , 10000     , 20        , 20        , 25659.130859        
2         , 1.000000  , 10000     , 20        , 20        , 20633.576660        
2         , 1.000000  , 10000     , 20        , 20        , 19697.852051        
3         , 1.000000  , 10000     , 20        , 20        , 25177.608887        
3         , 1.000000  , 10000     , 20        , 20        , 25941.060059        
3         , 1.000000  , 10000     , 20        , 20        , 28914.937012        
3         , 1.000000  , 10000     , 20        , 20        , 21592.401855        
3         , 1.000000  , 10000     , 20        , 20        , 19670.773926        
3         , 1.000000  , 10000     , 20        , 20        , 23410.699951        
3         , 1.000000  , 10000     , 20        , 20        , 19584.643799        
3         , 1.000000  , 10000     , 20        , 20        , 22454.374756        
3         , 1.000000  , 10000     , 20        , 20        , 19622.091064        
3         , 1.000000  , 10000     , 20        , 20        , 22709.462891        
4         , 1.000000  , 10000     , 20        , 20        , 27674.745850        
4         , 1.000000  , 10000     , 20        , 20        , 20567.916992        
4         , 1.000000  , 10000     , 20        , 20        , 20023.407959        
4         , 1.000000  , 10000     , 20        , 20        , 21255.593994        
4         , 1.000000  , 10000     , 20        , 20        , 21213.863770        
4         , 1.000000  , 10000     , 20        , 20        , 21656.915771        
4         , 1.000000  , 10000     , 20        , 20        , 29188.783936        
4         , 1.000000  , 10000     , 20        , 20        , 27890.877930        
4         , 1.000000  , 10000     , 20        , 20        , 19351.297852        
4         , 1.000000  , 10000     , 20        , 20        , 25380.356201        
1         , 1.000000  , 10000     , 40        , 20        , 26864.759766        
1         , 1.000000  , 10000     , 40        , 20        , 21236.155029        
1         , 1.000000  , 10000     , 40        , 20        , 21682.010010        
1         , 1.000000  , 10000     , 40        , 20        , 19065.328125        
1         , 1.000000  , 10000     , 40        , 20        , 20930.307861        
1         , 1.000000  , 10000     , 40        , 20        , 27699.406006        
1         , 1.000000  , 10000     , 40        , 20        , 22305.111816        
1         , 1.000000  , 10000     , 40        , 20        , 25025.529785        
1         , 1.000000  , 10000     , 40        , 20        , 19084.171143        
1         , 1.000000  , 10000     , 40        , 20        , 21904.374023        
2         , 1.000000  , 10000     , 40        , 20        , 21946.958984        
2         , 1.000000  , 10000     , 40        , 20        , 30733.906982        
2         , 1.000000  , 10000     , 40        , 20        , 25553.824951        
2         , 1.000000  , 10000     , 40        , 20        , 19696.593018        
2         , 1.000000  , 10000     , 40        , 20        , 23826.508789        
2         , 1.000000  , 10000     , 40        , 20        , 26725.509766        
2         , 1.000000  , 10000     , 40        , 20        , 22635.252930        
2         , 1.000000  , 10000     , 40        , 20        , 19683.975830        
2         , 1.000000  , 10000     , 40        , 20        , 30479.398926        
2         , 1.000000  , 10000     , 40        , 20        , 20241.114014        
3         , 1.000000  , 10000     , 40        , 20        , 19062.125977        
3         , 1.000000  , 10000     , 40        , 20        , 21057.911865        
3         , 1.000000  , 10000     , 40        , 20        , 21916.187988        
3         , 1.000000  , 10000     , 40        , 20        , 25223.911865        
3         , 1.000000  , 10000     , 40        , 20        , 27174.448975        
3         , 1.000000  , 10000     , 40        , 20        , 28206.787109        
3         , 1.000000  , 10000     , 40        , 20        , 30462.975830        
3         , 1.000000  , 10000     , 40        , 20        , 23134.187988        
3         , 1.000000  , 10000     , 40        , 20        , 25054.549316        
3         , 1.000000  , 10000     , 40        , 20        , 26612.622803        
4         , 1.000000  , 10000     , 40        , 20        , 20735.011230        
