#threads  , #elements , time                
24        , 4096      , 48.158691           
24        , 4096      , 45.579834           
24        , 4096      , 40.000977           
24        , 4096      , 39.773682           
24        , 4096      , 34.745850           
24        , 4096      , 36.743164           
24        , 4096      , 35.099609           
24        , 4096      , 35.914062           
24        , 4096      , 34.925049           
24        , 4096      , 35.414062           
24        , 4096      , 34.702881           
24        , 4096      , 33.840088           
24        , 4096      , 35.117920           
24        , 4096      , 34.462402           
24        , 4096      , 35.788086           
24        , 4096      , 33.702881           
24        , 4096      , 34.555176           
24        , 4096      , 34.769775           
24        , 4096      , 34.752930           
24        , 4096      , 35.098633           
24        , 4096      , 35.415039           
24        , 4096      , 34.594971           
24        , 4096      , 35.609619           
24        , 4096      , 34.440186           
24        , 4096      , 35.648193           
24        , 8192      , 37.313232           
24        , 8192      , 34.936035           
24        , 8192      , 34.409668           
24        , 8192      , 35.458252           
24        , 8192      , 35.618896           
24        , 8192      , 34.432861           
24        , 8192      , 36.523193           
24        , 8192      , 35.010986           
24        , 8192      , 34.377930           
24        , 8192      , 35.811768           
24        , 8192      , 39.361084           
24        , 8192      , 37.539795           
24        , 8192      , 41.919189           
24        , 8192      , 34.675049           
24        , 8192      , 35.187256           
24        , 8192      , 35.684082           
24        , 8192      , 40.336182           
24        , 8192      , 39.573975           
24        , 8192      , 35.241211           
24        , 8192      , 34.933838           
24        , 8192      , 35.963867           
24        , 8192      , 35.322754           
24        , 8192      , 39.188721           
24        , 8192      , 35.992920           
24        , 8192      , 35.067627           
24        , 16384     , 40.471924           
24        , 16384     , 44.745117           
24        , 16384     , 41.436768           
24        , 16384     , 45.683838           
24        , 16384     , 44.715088           
24        , 16384     , 44.120117           
24        , 16384     , 42.125000           
24        , 16384     , 43.706055           
24        , 16384     , 43.231201           
24        , 16384     , 42.812988           
24        , 16384     , 38.952637           
24        , 16384     , 35.894043           
24        , 16384     , 34.601807           
24        , 16384     , 39.589844           
24        , 16384     , 35.629150           
24        , 16384     , 39.739746           
24        , 16384     , 39.774902           
24        , 16384     , 38.325195           
24        , 16384     , 39.475098           
24        , 16384     , 37.027100           
24        , 16384     , 36.365967           
24        , 16384     , 41.872070           
24        , 16384     , 35.520996           
24        , 16384     , 37.508057           
24        , 16384     , 40.194824           
24        , 32768     , 44.625000           
24        , 32768     , 39.058594           
24        , 32768     , 41.461914           
24        , 32768     , 44.503662           
24        , 32768     , 45.478027           
24        , 32768     , 43.879883           
24        , 32768     , 43.968994           
24        , 32768     , 44.993164           
24        , 32768     , 45.003906           
24        , 32768     , 42.727051           
24        , 32768     , 46.475098           
24        , 32768     , 46.660645           
24        , 32768     , 43.040283           
24        , 32768     , 44.280762           
24        , 32768     , 44.244629           
24        , 32768     , 44.449951           
24        , 32768     , 46.002197           
24        , 32768     , 44.681152           
24        , 32768     , 44.776855           
24        , 32768     , 42.450928           
24        , 32768     , 41.806885           
24        , 32768     , 44.841064           
24        , 32768     , 42.156006           
24        , 32768     , 42.109863           
24        , 32768     , 41.455811           
24        , 65536     , 40.339844           
24        , 65536     , 44.187012           
24        , 65536     , 44.767090           
24        , 65536     , 43.699951           
24        , 65536     , 45.061279           
24        , 65536     , 44.815430           
24        , 65536     , 45.340088           
24        , 65536     , 45.980713           
24        , 65536     , 45.020020           
24        , 65536     , 44.425049           
24        , 65536     , 45.842529           
24        , 65536     , 47.414795           
24        , 65536     , 45.584961           
24        , 65536     , 45.187744           
24        , 65536     , 45.252930           
24        , 65536     , 46.363037           
24        , 65536     , 45.913086           
24        , 65536     , 47.404053           
24        , 65536     , 38.517090           
24        , 65536     , 44.136719           
24        , 65536     , 45.456055           
24        , 65536     , 46.622803           
24        , 65536     , 38.989502           
24        , 65536     , 45.594727           
24        , 65536     , 45.167236           
24        , 131072    , 48.543213           
24        , 131072    , 50.898193           
24        , 131072    , 48.055420           
24        , 131072    , 49.021729           
24        , 131072    , 50.237793           
24        , 131072    , 48.769043           
24        , 131072    , 51.726562           
24        , 131072    , 49.074951           
24        , 131072    , 49.453857           
24        , 131072    , 49.425781           
24        , 131072    , 52.225830           
24        , 131072    , 48.083252           
24        , 131072    , 50.989746           
24        , 131072    , 48.484863           
24        , 131072    , 50.063232           
24        , 131072    , 48.719238           
24        , 131072    , 49.876221           
24        , 131072    , 52.708008           
24        , 131072    , 49.634033           
24        , 131072    , 46.945068           
24        , 131072    , 52.045166           
24        , 131072    , 49.343994           
24        , 131072    , 50.014160           
24        , 131072    , 49.398926           
24        , 131072    , 53.459717           
24        , 262144    , 54.713135           
24        , 262144    , 56.956055           
24        , 262144    , 60.720947           
24        , 262144    , 61.008057           
24        , 262144    , 54.188721           
24        , 262144    , 68.498779           
24        , 262144    , 58.071045           
24        , 262144    , 61.250977           
24        , 262144    , 53.930908           
24        , 262144    , 56.504883           
24        , 262144    , 58.892822           
24        , 262144    , 61.519043           
24        , 262144    , 61.584717           
24        , 262144    , 60.641113           
24        , 262144    , 59.027100           
24        , 262144    , 59.366943           
24        , 262144    , 58.121094           
24        , 262144    , 58.564453           
24        , 262144    , 61.838623           
24        , 262144    , 59.010254           
24        , 262144    , 59.531006           
24        , 262144    , 59.241211           
24        , 262144    , 61.076904           
24        , 262144    , 55.728271           
24        , 262144    , 52.982178           
24        , 524288    , 82.687988           
24        , 524288    , 77.505371           
