#threads  , # nodes   , time                
60        , 1024      , 93.587212           
60        , 1024      , 56.375099           
60        , 1024      , 57.770050           
60        , 1024      , 43.577877           
60        , 1024      , 42.406050           
60        , 2048      , 41.758701           
60        , 2048      , 45.353813           
60        , 2048      , 42.297005           
60        , 2048      , 46.563065           
60        , 2048      , 58.803024           
60        , 131072    , 57.617794           
60        , 131072    , 52.788050           
60        , 131072    , 44.237024           
60        , 131072    , 56.596891           
60        , 131072    , 51.373976           
60        , 261444    , 54.789999           
60        , 261444    , 56.229034           
60        , 261444    , 55.494719           
60        , 261444    , 55.016027           
60        , 261444    , 52.739231           
60        , 524288    , 58.989902           
60        , 524288    , 59.745096           
60        , 524288    , 59.015011           
60        , 524288    , 60.315046           
60        , 524288    , 64.307997           
60        , 1048576   , 72.089033           
60        , 1048576   , 72.889771           
60        , 1048576   , 81.889050           
60        , 1048576   , 76.250923           
60        , 1048576   , 82.339149           
60        , 2097152   , 103.707039          
60        , 2097152   , 111.770905          
60        , 2097152   , 104.958103          
60        , 2097152   , 96.136961           
60        , 2097152   , 99.857977           
60        , 4194304   , 156.253048          
60        , 4194304   , 166.214916          
60        , 4194304   , 146.202076          
60        , 4194304   , 150.561890          
60        , 4194304   , 165.276096          
60        , 8388608   , 290.375925          
60        , 8388608   , 282.633951          
60        , 8388608   , 298.941750          
60        , 8388608   , 298.758036          
60        , 8388608   , 275.370110          
60        , 16777216  , 545.505955          
