#threads  , # nodes   , time                
24        , 1024      , 4.662842            
24        , 1024      , 3.448975            
24        , 1024      , 11.510010           
24        , 1024      , 12.019043           
24        , 1024      , 3.801025            
24        , 1024      , 3.080811            
24        , 1024      , 3.403809            
24        , 1024      , 4.310791            
24        , 1024      , 3.784912            
24        , 1024      , 4.428955            
24        , 1024      , 3.565918            
24        , 1024      , 3.714111            
24        , 1024      , 3.927002            
24        , 1024      , 3.446045            
24        , 1024      , 3.086914            
24        , 1024      , 4.829346            
24        , 1024      , 9.723877            
24        , 1024      , 23.590088           
24        , 1024      , 2.676025            
24        , 1024      , 3.135742            
24        , 1024      , 11.510986           
24        , 1024      , 3.785156            
24        , 1024      , 2.783936            
24        , 1024      , 2.500977            
24        , 1024      , 3.603027            
24        , 2048      , 11.096191           
24        , 2048      , 5.503174            
24        , 2048      , 6.709961            
24        , 2048      , 3.843018            
24        , 2048      , 3.395264            
24        , 2048      , 2.872070            
24        , 2048      , 3.412109            
24        , 2048      , 3.149902            
24        , 2048      , 3.755127            
24        , 2048      , 3.285889            
24        , 2048      , 13.667725           
24        , 2048      , 3.208008            
24        , 2048      , 2.761230            
24        , 2048      , 11.080811           
24        , 2048      , 11.258057           
24        , 2048      , 3.041992            
24        , 2048      , 3.791016            
24        , 2048      , 4.318115            
24        , 2048      , 11.721191           
24        , 2048      , 3.380127            
24        , 2048      , 5.016846            
24        , 2048      , 3.405762            
24        , 2048      , 10.535889           
24        , 2048      , 6.570068            
24        , 2048      , 3.850098            
24        , 131072    , 6.126953            
24        , 131072    , 9.650146            
24        , 131072    , 4.869141            
24        , 131072    , 5.971924            
24        , 131072    , 5.544189            
24        , 131072    , 10.204102           
24        , 131072    , 6.695068            
24        , 131072    , 6.695801            
24        , 131072    , 5.451904            
24        , 131072    , 6.779053            
24        , 131072    , 13.187012           
24        , 131072    , 6.661865            
24        , 131072    , 7.024170            
24        , 131072    , 6.510986            
24        , 131072    , 6.741943            
24        , 131072    , 7.015137            
24        , 131072    , 6.813232            
24        , 131072    , 11.246094           
24        , 131072    , 5.819092            
24        , 131072    , 6.794922            
