#threads  , # rows    , # cols    , time                
24        , 10000     , 20        , 51.358887           
24        , 10000     , 20        , 101.666992          
24        , 10000     , 20        , 49.970947           
24        , 10000     , 20        , 114.755859          
24        , 10000     , 20        , 47.446777           
24        , 10000     , 20        , 99.275146           
24        , 10000     , 20        , 96.500000           
24        , 10000     , 20        , 49.498779           
24        , 10000     , 20        , 99.940918           
24        , 10000     , 20        , 117.623047          
24        , 10000     , 40        , 180.603027          
24        , 10000     , 40        , 112.589111          
24        , 10000     , 40        , 84.003174           
24        , 10000     , 40        , 56.409912           
24        , 10000     , 40        , 119.052979          
24        , 10000     , 40        , 48.523926           
24        , 10000     , 40        , 98.273926           
24        , 10000     , 40        , 65.942871           
24        , 10000     , 40        , 116.207275          
24        , 10000     , 40        , 97.033936           
24        , 20000     , 20        , 103.338135          
24        , 20000     , 20        , 103.371826          
24        , 20000     , 20        , 144.213867          
24        , 20000     , 20        , 82.363037           
24        , 20000     , 20        , 91.260254           
24        , 20000     , 20        , 101.695068          
24        , 20000     , 20        , 52.661133           
24        , 20000     , 20        , 52.439697           
24        , 20000     , 20        , 60.190918           
24        , 20000     , 20        , 59.028320           
24        , 20000     , 40        , 67.758057           
24        , 20000     , 40        , 141.440918          
24        , 20000     , 40        , 57.208984           
24        , 20000     , 40        , 52.355957           
24        , 20000     , 40        , 90.139893           
24        , 20000     , 40        , 54.537109           
24        , 20000     , 40        , 122.431885          
24        , 20000     , 40        , 221.313965          
24        , 20000     , 40        , 52.308105           
24        , 20000     , 40        , 114.867920          
24        , 40000     , 20        , 111.090088          
24        , 40000     , 20        , 167.263916          
24        , 40000     , 20        , 133.328857          
24        , 40000     , 20        , 145.027832          
24        , 40000     , 20        , 171.459229          
24        , 40000     , 20        , 129.836182          
24        , 40000     , 20        , 110.102783          
24        , 40000     , 20        , 150.173828          
24        , 40000     , 20        , 110.093750          
24        , 40000     , 20        , 159.249268          
24        , 40000     , 40        , 140.916016          
24        , 40000     , 40        , 116.723145          
24        , 40000     , 40        , 123.248779          
24        , 40000     , 40        , 143.226807          
24        , 40000     , 40        , 117.759033          
24        , 40000     , 40        , 102.802246          
24        , 40000     , 40        , 208.277832          
24        , 40000     , 40        , 120.052246          
24        , 40000     , 40        , 106.747314          
24        , 40000     , 40        , 107.131104          
