Affinity  , Usage     , #elements , time                
1         , 1.000000  , 4096      , 129.382000          
1         , 1.000000  , 4096      , 97.843937           
1         , 1.000000  , 4096      , 96.790070           
1         , 1.000000  , 4096      , 96.835165           
1         , 1.000000  , 4096      , 98.416969           
1         , 1.000000  , 4096      , 97.180780           
1         , 1.000000  , 4096      , 100.429176          
1         , 1.000000  , 4096      , 96.362232           
1         , 1.000000  , 4096      , 97.901066           
1         , 1.000000  , 4096      , 96.754061           
2         , 1.000000  , 4096      , 77.971294           
2         , 1.000000  , 4096      , 65.530218           
2         , 1.000000  , 4096      , 66.638992           
2         , 1.000000  , 4096      , 68.900084           
2         , 1.000000  , 4096      , 65.991238           
2         , 1.000000  , 4096      , 66.539886           
2         , 1.000000  , 4096      , 65.915119           
2         , 1.000000  , 4096      , 66.801102           
2         , 1.000000  , 4096      , 69.389923           
2         , 1.000000  , 4096      , 66.240976           
3         , 1.000000  , 4096      , 77.013809           
3         , 1.000000  , 4096      , 65.774899           
3         , 1.000000  , 4096      , 66.536943           
3         , 1.000000  , 4096      , 64.883183           
3         , 1.000000  , 4096      , 65.185150           
3         , 1.000000  , 4096      , 66.758963           
3         , 1.000000  , 4096      , 63.636793           
3         , 1.000000  , 4096      , 62.705980           
3         , 1.000000  , 4096      , 63.291784           
3         , 1.000000  , 4096      , 66.356979           
4         , 1.000000  , 4096      , 100.790119          
4         , 1.000000  , 4096      , 90.068933           
4         , 1.000000  , 4096      , 88.934538           
4         , 1.000000  , 4096      , 84.715805           
4         , 1.000000  , 4096      , 91.323095           
4         , 1.000000  , 4096      , 91.271296           
4         , 1.000000  , 4096      , 89.970808           
4         , 1.000000  , 4096      , 87.432022           
4         , 1.000000  , 4096      , 91.268623           
4         , 1.000000  , 4096      , 88.983767           
1         , 1.000000  , 8192      , 186.571159          
1         , 1.000000  , 8192      , 184.360067          
1         , 1.000000  , 8192      , 184.735056          
1         , 1.000000  , 8192      , 185.584965          
1         , 1.000000  , 8192      , 184.287905          
1         , 1.000000  , 8192      , 187.205868          
1         , 1.000000  , 8192      , 185.542204          
1         , 1.000000  , 8192      , 186.938665          
1         , 1.000000  , 8192      , 187.886938          
1         , 1.000000  , 8192      , 186.036100          
2         , 1.000000  , 8192      , 114.398054          
2         , 1.000000  , 8192      , 109.764639          
2         , 1.000000  , 8192      , 113.690180          
2         , 1.000000  , 8192      , 111.892925          
2         , 1.000000  , 8192      , 113.632254          
2         , 1.000000  , 8192      , 114.693647          
2         , 1.000000  , 8192      , 111.386749          
2         , 1.000000  , 8192      , 114.095840          
2         , 1.000000  , 8192      , 112.610683          
2         , 1.000000  , 8192      , 112.519011          
3         , 1.000000  , 8192      , 116.632093          
3         , 1.000000  , 8192      , 116.814100          
3         , 1.000000  , 8192      , 109.312851          
3         , 1.000000  , 8192      , 92.137018           
3         , 1.000000  , 8192      , 93.648888           
3         , 1.000000  , 8192      , 92.239683           
3         , 1.000000  , 8192      , 97.970068           
3         , 1.000000  , 8192      , 93.167721           
3         , 1.000000  , 8192      , 92.232168           
3         , 1.000000  , 8192      , 95.391968           
4         , 1.000000  , 8192      , 115.190887          
4         , 1.000000  , 8192      , 116.209032          
4         , 1.000000  , 8192      , 114.793259          
4         , 1.000000  , 8192      , 116.484213          
4         , 1.000000  , 8192      , 115.577936          
4         , 1.000000  , 8192      , 117.041643          
4         , 1.000000  , 8192      , 111.428589          
4         , 1.000000  , 8192      , 117.991106          
4         , 1.000000  , 8192      , 114.299057          
4         , 1.000000  , 8192      , 116.242891          
1         , 1.000000  , 16384     , 366.668875          
1         , 1.000000  , 16384     , 362.840096          
1         , 1.000000  , 16384     , 367.106035          
1         , 1.000000  , 16384     , 371.683914          
1         , 1.000000  , 16384     , 388.015963          
1         , 1.000000  , 16384     , 359.852440          
1         , 1.000000  , 16384     , 363.714218          
1         , 1.000000  , 16384     , 359.065863          
1         , 1.000000  , 16384     , 375.392836          
1         , 1.000000  , 16384     , 361.431238          
2         , 1.000000  , 16384     , 205.083179          
2         , 1.000000  , 16384     , 208.572807          
2         , 1.000000  , 16384     , 206.721903          
2         , 1.000000  , 16384     , 205.034060          
2         , 1.000000  , 16384     , 203.557316          
2         , 1.000000  , 16384     , 201.258945          
2         , 1.000000  , 16384     , 206.028793          
2         , 1.000000  , 16384     , 204.387058          
2         , 1.000000  , 16384     , 206.687246          
2         , 1.000000  , 16384     , 206.794901          
3         , 1.000000  , 16384     , 154.612379          
3         , 1.000000  , 16384     , 156.187559          
3         , 1.000000  , 16384     , 155.911938          
3         , 1.000000  , 16384     , 155.724110          
3         , 1.000000  , 16384     , 155.644024          
3         , 1.000000  , 16384     , 156.685219          
3         , 1.000000  , 16384     , 158.362919          
3         , 1.000000  , 16384     , 169.786003          
3         , 1.000000  , 16384     , 156.414040          
3         , 1.000000  , 16384     , 157.605942          
4         , 1.000000  , 16384     , 170.237854          
4         , 1.000000  , 16384     , 168.779835          
4         , 1.000000  , 16384     , 168.723085          
4         , 1.000000  , 16384     , 172.061365          
4         , 1.000000  , 16384     , 164.699747          
4         , 1.000000  , 16384     , 168.171770          
4         , 1.000000  , 16384     , 168.257776          
4         , 1.000000  , 16384     , 171.064734          
4         , 1.000000  , 16384     , 170.505953          
4         , 1.000000  , 16384     , 167.323107          
1         , 1.000000  , 32768     , 721.708136          
1         , 1.000000  , 32768     , 718.236942          
1         , 1.000000  , 32768     , 717.985123          
1         , 1.000000  , 32768     , 710.631170          
1         , 1.000000  , 32768     , 722.224953          
1         , 1.000000  , 32768     , 709.514971          
1         , 1.000000  , 32768     , 715.125092          
1         , 1.000000  , 32768     , 721.499884          
1         , 1.000000  , 32768     , 715.524273          
1         , 1.000000  , 32768     , 713.568193          
2         , 1.000000  , 32768     , 391.022903          
2         , 1.000000  , 32768     , 389.531822          
2         , 1.000000  , 32768     , 389.237881          
2         , 1.000000  , 32768     , 387.748169          
2         , 1.000000  , 32768     , 387.574932          
2         , 1.000000  , 32768     , 390.457056          
2         , 1.000000  , 32768     , 391.873339          
2         , 1.000000  , 32768     , 390.378954          
2         , 1.000000  , 32768     , 394.759005          
2         , 1.000000  , 32768     , 392.932854          
3         , 1.000000  , 32768     , 279.811741          
3         , 1.000000  , 32768     , 280.153133          
3         , 1.000000  , 32768     , 278.825926          
3         , 1.000000  , 32768     , 280.870819          
3         , 1.000000  , 32768     , 278.648905          
3         , 1.000000  , 32768     , 285.168045          
3         , 1.000000  , 32768     , 277.532660          
3         , 1.000000  , 32768     , 286.974026          
3         , 1.000000  , 32768     , 351.389307          
3         , 1.000000  , 32768     , 318.610737          
4         , 1.000000  , 32768     , 279.014038          
4         , 1.000000  , 32768     , 273.695963          
4         , 1.000000  , 32768     , 277.664934          
4         , 1.000000  , 32768     , 274.778099          
4         , 1.000000  , 32768     , 272.234007          
4         , 1.000000  , 32768     , 271.012005          
4         , 1.000000  , 32768     , 273.146725          
4         , 1.000000  , 32768     , 272.977842          
4         , 1.000000  , 32768     , 276.528940          
4         , 1.000000  , 32768     , 271.737043          
1         , 1.000000  , 65536     , 1412.888744         
1         , 1.000000  , 65536     , 1424.014093         
1         , 1.000000  , 65536     , 1429.340797         
