Affinity  , Usage     , #elements , time                
1         , 1.000000  , 4096      , 103.500845          
1         , 1.000000  , 4096      , 97.435888           
1         , 1.000000  , 4096      , 97.590153           
1         , 1.000000  , 4096      , 96.869329           
1         , 1.000000  , 4096      , 98.192099           
1         , 1.000000  , 4096      , 96.046349           
1         , 1.000000  , 4096      , 101.925117          
1         , 1.000000  , 4096      , 96.596319           
1         , 1.000000  , 4096      , 100.326948          
1         , 1.000000  , 4096      , 96.995068           
2         , 1.000000  , 4096      , 72.708790           
2         , 1.000000  , 4096      , 66.327961           
2         , 1.000000  , 4096      , 66.072342           
2         , 1.000000  , 4096      , 67.040977           
2         , 1.000000  , 4096      , 67.743187           
2         , 1.000000  , 4096      , 65.372215           
2         , 1.000000  , 4096      , 65.375204           
2         , 1.000000  , 4096      , 66.110970           
2         , 1.000000  , 4096      , 65.278091           
2         , 1.000000  , 4096      , 67.513111           
3         , 1.000000  , 4096      , 66.684156           
3         , 1.000000  , 4096      , 63.049629           
3         , 1.000000  , 4096      , 66.882133           
3         , 1.000000  , 4096      , 63.888000           
3         , 1.000000  , 4096      , 65.944855           
3         , 1.000000  , 4096      , 63.030130           
3         , 1.000000  , 4096      , 65.884174           
3         , 1.000000  , 4096      , 62.365007           
3         , 1.000000  , 4096      , 65.434889           
3         , 1.000000  , 4096      , 63.643927           
4         , 1.000000  , 4096      , 89.804811           
4         , 1.000000  , 4096      , 90.632828           
4         , 1.000000  , 4096      , 88.930775           
4         , 1.000000  , 4096      , 88.597042           
4         , 1.000000  , 4096      , 89.936705           
4         , 1.000000  , 4096      , 89.335068           
4         , 1.000000  , 4096      , 87.833363           
4         , 1.000000  , 4096      , 89.547134           
4         , 1.000000  , 4096      , 88.004745           
4         , 1.000000  , 4096      , 89.705101           
1         , 1.000000  , 8192      , 182.709923          
1         , 1.000000  , 8192      , 184.141064          
1         , 1.000000  , 8192      , 185.851967          
1         , 1.000000  , 8192      , 188.941059          
1         , 1.000000  , 8192      , 187.315847          
1         , 1.000000  , 8192      , 185.409149          
1         , 1.000000  , 8192      , 184.497747          
1         , 1.000000  , 8192      , 186.215160          
1         , 1.000000  , 8192      , 185.300211          
1         , 1.000000  , 8192      , 185.548946          
2         , 1.000000  , 8192      , 114.049906          
2         , 1.000000  , 8192      , 111.415010          
2         , 1.000000  , 8192      , 111.035973          
2         , 1.000000  , 8192      , 112.256990          
2         , 1.000000  , 8192      , 112.755831          
2         , 1.000000  , 8192      , 112.046759          
2         , 1.000000  , 8192      , 112.532187          
2         , 1.000000  , 8192      , 111.581915          
2         , 1.000000  , 8192      , 112.625191          
2         , 1.000000  , 8192      , 112.177183          
3         , 1.000000  , 8192      , 95.409189           
3         , 1.000000  , 8192      , 96.035158           
3         , 1.000000  , 8192      , 95.864862           
3         , 1.000000  , 8192      , 95.659718           
3         , 1.000000  , 8192      , 95.190075           
3         , 1.000000  , 8192      , 93.635998           
3         , 1.000000  , 8192      , 94.173136           
3         , 1.000000  , 8192      , 95.040964           
3         , 1.000000  , 8192      , 92.787756           
3         , 1.000000  , 8192      , 96.512905           
4         , 1.000000  , 8192      , 118.273121          
4         , 1.000000  , 8192      , 116.329834          
4         , 1.000000  , 8192      , 114.217226          
4         , 1.000000  , 8192      , 117.680943          
4         , 1.000000  , 8192      , 117.501568          
4         , 1.000000  , 8192      , 119.067863          
4         , 1.000000  , 8192      , 124.649309          
4         , 1.000000  , 8192      , 122.652617          
4         , 1.000000  , 8192      , 114.109175          
4         , 1.000000  , 8192      , 115.206772          
1         , 1.000000  , 16384     , 404.696924          
1         , 1.000000  , 16384     , 380.983269          
1         , 1.000000  , 16384     , 360.691000          
1         , 1.000000  , 16384     , 359.512711          
1         , 1.000000  , 16384     , 367.668213          
1         , 1.000000  , 16384     , 364.645866          
1         , 1.000000  , 16384     , 368.667044          
1         , 1.000000  , 16384     , 365.451771          
1         , 1.000000  , 16384     , 368.209265          
1         , 1.000000  , 16384     , 386.488249          
2         , 1.000000  , 16384     , 236.591188          
2         , 1.000000  , 16384     , 241.108955          
