Affinity  , # nodes   , time                
1         , 1024      , 147.742100          
1         , 1024      , 109.317873          
1         , 1024      , 103.945044          
1         , 1024      , 100.958820          
1         , 1024      , 101.431881          
2         , 1024      , 162.252014          
2         , 1024      , 101.658108          
2         , 1024      , 98.148027           
2         , 1024      , 98.104973           
2         , 1024      , 99.360933           
3         , 1024      , 103.518023          
3         , 1024      , 128.081059          
3         , 1024      , 100.714106          
3         , 1024      , 104.863022          
3         , 1024      , 103.636084          
4         , 1024      , 106.140253          
4         , 1024      , 99.725842           
4         , 1024      , 102.483942          
4         , 1024      , 100.240921          
4         , 1024      , 102.750103          
1         , 2048      , 112.570110          
1         , 2048      , 132.585974          
1         , 2048      , 109.388964          
1         , 2048      , 104.879099          
1         , 2048      , 103.359926          
2         , 2048      , 230.928837          
2         , 2048      , 220.898233          
2         , 2048      , 227.971102          
2         , 2048      , 249.692001          
2         , 2048      , 214.941900          
3         , 2048      , 250.718121          
3         , 2048      , 250.094217          
3         , 2048      , 223.684021          
3         , 2048      , 216.047890          
3         , 2048      , 236.612942          
4         , 2048      , 228.630154          
4         , 2048      , 221.662905          
4         , 2048      , 214.171087          
4         , 2048      , 217.445837          
4         , 2048      , 228.569128          
1         , 131072    , 164.718077          
1         , 131072    , 162.147026          
1         , 131072    , 162.418238          
1         , 131072    , 165.117064          
1         , 131072    , 159.621092          
2         , 131072    , 345.478090          
2         , 131072    , 316.079802          
2         , 131072    , 337.143002          
2         , 131072    , 337.661083          
2         , 131072    , 335.192026          
3         , 131072    , 552.094856          
3         , 131072    , 507.993029          
3         , 131072    , 559.137857          
3         , 131072    , 543.510983          
3         , 131072    , 561.987776          
4         , 131072    , 752.263926          
4         , 131072    , 752.489996          
4         , 131072    , 755.971064          
4         , 131072    , 765.414940          
4         , 131072    , 748.135775          
1         , 261444    , 192.425026          
1         , 261444    , 190.374886          
1         , 261444    , 234.929037          
1         , 261444    , 191.779732          
1         , 261444    , 188.321997          
2         , 261444    , 423.922071          
2         , 261444    , 417.742931          
2         , 261444    , 382.637985          
2         , 261444    , 379.958765          
2         , 261444    , 370.165991          
3         , 261444    , 666.129789          
3         , 261444    , 641.860115          
3         , 261444    , 661.488113          
3         , 261444    , 656.103008          
3         , 261444    , 655.946083          
4         , 261444    , 893.879242          
4         , 261444    , 856.802046          
4         , 261444    , 917.257143          
4         , 261444    , 878.017151          
4         , 261444    , 916.570044          
1         , 524288    , 204.572052          
1         , 524288    , 248.023087          
1         , 524288    , 198.255014          
1         , 524288    , 204.345007          
1         , 524288    , 200.056072          
2         , 524288    , 396.615887          
2         , 524288    , 387.188093          
2         , 524288    , 391.062950          
2         , 524288    , 394.566944          
2         , 524288    , 390.250877          
3         , 524288    , 683.067144          
3         , 524288    , 615.129030          
3         , 524288    , 623.247993          
3         , 524288    , 608.741968          
3         , 524288    , 659.621948          
4         , 524288    , 909.378016          
4         , 524288    , 923.625952          
4         , 524288    , 842.767006          
4         , 524288    , 899.580988          
4         , 524288    , 893.051170          
1         , 1048576   , 204.413136          
1         , 1048576   , 203.921110          
1         , 1048576   , 203.996962          
1         , 1048576   , 205.027086          
1         , 1048576   , 204.351032          
2         , 1048576   , 392.392231          
2         , 1048576   , 443.136032          
2         , 1048576   , 391.222864          
2         , 1048576   , 444.028021          
2         , 1048576   , 393.199230          
3         , 1048576   , 640.929876          
3         , 1048576   , 645.430994          
3         , 1048576   , 606.429976          
3         , 1048576   , 643.419888          
3         , 1048576   , 601.570181          
4         , 1048576   , 883.664764          
4         , 1048576   , 911.571932          
4         , 1048576   , 900.389795          
4         , 1048576   , 871.349016          
4         , 1048576   , 884.929789          
1         , 2097152   , 254.503119          
1         , 2097152   , 230.547960          
1         , 2097152   , 230.252987          
1         , 2097152   , 273.773064          
1         , 2097152   , 227.400919          
2         , 2097152   , 407.154121          
2         , 2097152   , 403.620970          
2         , 2097152   , 395.107033          
2         , 2097152   , 402.796974          
2         , 2097152   , 413.832079          
3         , 2097152   , 707.696018          
3         , 2097152   , 683.482180          
3         , 2097152   , 662.168907          
