Affinity  , Usage     , # rows    , # cols    , height    , time                
1         , 1.000000  , 10000     , 20        , 20        , 3176.305042         
1         , 1.000000  , 10000     , 20        , 20        , 3200.570856         
1         , 1.000000  , 10000     , 20        , 20        , 3165.963854         
1         , 1.000000  , 10000     , 20        , 20        , 3179.319094         
1         , 1.000000  , 10000     , 20        , 20        , 3212.643970         
2         , 1.000000  , 10000     , 20        , 20        , 3083.793036         
2         , 1.000000  , 10000     , 20        , 20        , 3328.030081         
2         , 1.000000  , 10000     , 20        , 20        , 3115.883202         
2         , 1.000000  , 10000     , 20        , 20        , 3106.240887         
2         , 1.000000  , 10000     , 20        , 20        , 3081.648010         
3         , 1.000000  , 10000     , 20        , 20        , 3105.538000         
3         , 1.000000  , 10000     , 20        , 20        , 3090.275099         
3         , 1.000000  , 10000     , 20        , 20        , 3077.849260         
3         , 1.000000  , 10000     , 20        , 20        , 3109.266043         
3         , 1.000000  , 10000     , 20        , 20        , 3119.157133         
4         , 1.000000  , 10000     , 20        , 20        , 3072.072117         
4         , 1.000000  , 10000     , 20        , 20        , 3039.722198         
4         , 1.000000  , 10000     , 20        , 20        , 3072.268997         
4         , 1.000000  , 10000     , 20        , 20        , 3085.118118         
4         , 1.000000  , 10000     , 20        , 20        , 3043.015987         
1         , 1.000000  , 10000     , 40        , 20        , 3144.609869         
1         , 1.000000  , 10000     , 40        , 20        , 3172.346199         
1         , 1.000000  , 10000     , 40        , 20        , 3730.820976         
1         , 1.000000  , 10000     , 40        , 20        , 3186.667080         
1         , 1.000000  , 10000     , 40        , 20        , 3165.642071         
2         , 1.000000  , 10000     , 40        , 20        , 3055.342865         
2         , 1.000000  , 10000     , 40        , 20        , 3051.441971         
2         , 1.000000  , 10000     , 40        , 20        , 3085.955124         
2         , 1.000000  , 10000     , 40        , 20        , 3090.339981         
2         , 1.000000  , 10000     , 40        , 20        , 3791.820951         
3         , 1.000000  , 10000     , 40        , 20        , 3105.032835         
3         , 1.000000  , 10000     , 40        , 20        , 3091.350967         
3         , 1.000000  , 10000     , 40        , 20        , 3058.927170         
3         , 1.000000  , 10000     , 40        , 20        , 3170.037035         
3         , 1.000000  , 10000     , 40        , 20        , 3126.015844         
4         , 1.000000  , 10000     , 40        , 20        , 3064.641081         
4         , 1.000000  , 10000     , 40        , 20        , 3056.891048         
4         , 1.000000  , 10000     , 40        , 20        , 3054.075100         
4         , 1.000000  , 10000     , 40        , 20        , 3075.286242         
4         , 1.000000  , 10000     , 40        , 20        , 3095.868998         
1         , 1.000000  , 20000     , 20        , 20        , 6414.730963         
1         , 1.000000  , 20000     , 20        , 20        , 6488.993092         
1         , 1.000000  , 20000     , 20        , 20        , 6393.434975         
1         , 1.000000  , 20000     , 20        , 20        , 6408.115110         
1         , 1.000000  , 20000     , 20        , 20        , 6467.998869         
2         , 1.000000  , 20000     , 20        , 20        , 6133.439795         
2         , 1.000000  , 20000     , 20        , 20        , 6156.671104         
2         , 1.000000  , 20000     , 20        , 20        , 6181.701149         
